status,method,sequence_length,decode_tokens,generated_token_ids,prefill_wall_ms,prefill_cuda_ms,decode_first_step_wall_ms,decode_first_step_cuda_ms,decode_steady_wall_mean_ms,decode_steady_cuda_mean_ms,decode_steady_cuda_p50_ms,decode_steady_cuda_p95_ms,decode_end_to_end_wall_ms,decode_end_to_end_ms_per_token,decode_tokens_per_second,prefill_peak_gpu_allocated_gib,prefill_peak_gpu_reserved_gib,decode_peak_gpu_allocated_gib,decode_peak_gpu_reserved_gib,cache_gpu_gib,cache_cpu_gib,cache_total_gib,cache_gpu_tensors,cache_cpu_tensors,theoretical_cache_gib,cache_ratio,h2d_tensor_copies,h2d_gib,d2h_tensor_copies,d2h_gib,cpu_rss_before_gib,cpu_rss_after_gib,cpu_rss_delta_gib,trial,resident_head_blocks
ok,resident,9216,32,"[8, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220]",1107.8525530174375,1107.847412109375,95.82380019128323,95.82080078125,97.98133193204801,97.97554550170898,96.39396667480469,111.3135269165039,3037.957661319524,97.99863423611367,10.20662855082095,15.530503749847412,15.845703125,14.308456420898438,15.8671875,0.05732107162475586,0.4365220069885254,0.49384307861328125,26,198,0.49384307861328125,1.0,6200,13.645219802856445,6398,14.08174180984497,1.889617919921875,1.889617919921875,0.0,1,12
ok,resident,9216,32,"[8, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220]",1200.4386908374727,1200.4444580078125,115.50233326852322,115.50003051757812,110.44870909924309,110.44577331542969,111.35273742675781,111.9450756072998,3431.432438082993,110.69136897041913,9.054217015114116,15.530503749847412,15.845703125,14.308456420898438,15.8671875,0.05732107162475586,0.4365220069885254,0.49384307861328125,26,198,0.49384307861328125,1.0,6200,13.645219802856445,6398,14.08174180984497,1.889617919921875,1.889617919921875,0.0,2,12
ok,resident,9216,32,"[8, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220]",1205.8113291859627,1205.8214111328125,113.24526323005557,113.25017547607422,101.76216944431265,101.75838673909506,99.57503890991211,126.17556915283203,3168.711867183447,102.21651184462732,9.827199821514123,15.530503749847412,15.845703125,14.308456420898438,15.8671875,0.05732107162475586,0.4365220069885254,0.49384307861328125,26,198,0.49384307861328125,1.0,6200,13.645219802856445,6398,14.08174180984497,1.889617919921875,1.889617919921875,0.0,3,12
ok,resident,9216,32,"[8, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220]",1077.529857866466,1077.537841796875,117.2198448330164,117.21727752685547,101.65857117002209,101.6550168355306,103.8463363647461,119.14001235961913,3169.624575879425,102.2459540606266,9.837192802967287,15.530503749847412,15.845703125,14.308456420898438,15.8671875,0.05732107162475586,0.4365220069885254,0.49384307861328125,26,198,0.49384307861328125,1.0,6200,13.645219802856445,6398,14.08174180984497,1.889617919921875,1.889617919921875,0.0,4,12
ok,resident,9216,32,"[8, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220]",1142.1747878193855,1142.1767578125,109.62347127497196,109.62092590332031,99.6433964309593,99.63877131144206,96.0882568359375,119.68777847290039,3101.7340342514217,100.05593658875554,10.036253828083533,15.530503749847412,15.845703125,14.308456420898438,15.8671875,0.05732107162475586,0.4365220069885254,0.49384307861328125,26,198,0.49384307861328125,1.0,6200,13.645219802856445,6398,14.08174180984497,1.889617919921875,1.889617919921875,0.0,5,12
ok,resident,9216,32,"[8, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220]",1079.4033519923687,1079.41064453125,99.03825121000409,99.03488159179688,99.048163012291,99.04422429402669,94.71895980834961,126.41464576721188,3073.0740050785244,99.13141951866207,10.096499893132178,15.530503749847412,15.845703125,14.308456420898438,15.8671875,0.05732107162475586,0.4365220069885254,0.49384307861328125,26,198,0.49384307861328125,1.0,6200,13.645219802856445,6398,14.08174180984497,1.889617919921875,1.889617919921875,0.0,6,12
ok,resident,9216,32,"[8, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220]",1071.5024173259735,1071.50927734375,91.88986383378506,91.88662719726562,99.8117003745089,99.80763982137044,96.39176177978516,121.60373725891111,3089.0426067635417,99.64653570204973,10.019273091616416,15.530503749847412,15.845703125,14.308456420898438,15.8671875,0.05732107162475586,0.4365220069885254,0.49384307861328125,26,198,0.49384307861328125,1.0,6200,13.645219802856445,6398,14.08174180984497,1.889617919921875,1.889617919921875,0.0,7,12
ok,resident,9216,32,"[8, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220]",1090.8007114194334,1090.8050537109375,109.82018895447254,109.81785583496094,97.25554632022977,97.25104904174805,92.86502456665039,121.73998374938964,3030.238499864936,97.74962902790115,10.282665429868205,15.530503749847412,15.845703125,14.308456420898438,15.8671875,0.05732107162475586,0.4365220069885254,0.49384307861328125,26,198,0.49384307861328125,1.0,6200,13.645219802856445,6398,14.08174180984497,1.889617919921875,1.889617919921875,0.0,8,12
ok,resident,9216,32,"[8, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220]",1100.564449094236,1100.5592041015625,119.22059813514352,119.21612548828125,99.18738091364503,99.18287658691406,94.82638168334961,126.08680763244628,3097.9113304056227,99.9326235614717,10.082385532785983,15.530503749847412,15.845703125,14.308456420898438,15.8671875,0.05732107162475586,0.4365220069885254,0.49384307861328125,26,198,0.49384307861328125,1.0,6200,13.645219802856445,6398,14.08174180984497,1.889617919921875,1.889617919921875,0.0,9,12
ok,resident,9216,32,"[8, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220]",1127.826341893524,1127.83154296875,107.23875416442752,107.2363510131836,101.43782816206415,101.43322957356771,98.97727966308594,127.08436012268065,3153.1968880444765,101.71602864659602,9.858702165001242,15.530503749847412,15.845703125,14.308456420898438,15.8671875,0.05732107162475586,0.4365220069885254,0.49384307861328125,26,198,0.49384307861328125,1.0,6200,13.645219802856445,6398,14.08174180984497,1.889617919921875,1.889617919921875,0.0,10,12
ok,resident,9216,32,"[8, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220]",1102.2839727811515,1102.2891845703125,93.46543392166495,93.46147155761719,99.58535085121791,99.58105036417643,97.89030456542969,121.53814506530759,3083.7535317987204,99.47592038060388,10.04207122080872,15.530503749847412,15.845703125,14.308456420898438,15.8671875,0.05732107162475586,0.4365220069885254,0.49384307861328125,26,198,0.49384307861328125,1.0,6200,13.645219802856445,6398,14.08174180984497,1.889617919921875,1.889617919921875,0.0,11,12
ok,resident,9216,32,"[8, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220]",1074.8262177221477,1074.79248046875,127.22897017374635,127.22386932373047,98.9000026602298,98.8961664835612,94.72256088256836,128.72213859558104,3097.1467630006373,99.90796009679475,10.111615399836785,15.530503749847412,15.845703125,14.308456420898438,15.8671875,0.05732107162475586,0.4365220069885254,0.49384307861328125,26,198,0.49384307861328125,1.0,6200,13.645219802856445,6398,14.08174180984497,1.889617919921875,1.889617919921875,0.0,12,12
