status,resident_kv_heads_r,sequence_length,decode_tokens,same_generated_sequence,all_step_top1_equal,max_probability_total_variation,min_top10_overlap,max_step_logits_relative_l2_error,stagekv_gpu_cache_bytes,stagekv_cpu_cache_bytes,expected_layer_prefetches,observed_layer_prefetches,expected_lookahead_prefetches,observed_lookahead_prefetches,expected_layer0_fallbacks,observed_layer0_fallbacks,expected_prefetch_hits,observed_prefetch_hits,expected_prefetch_misses,observed_prefetch_misses,expected_slot_reuse_waits,observed_slot_reuse_waits,expected_h2d_bytes,observed_h2d_bytes,h2d_tensor_copies,async_d2h_append_calls,non_blocking_d2h_tensor_copies,blocking_d2h_tensor_copies,staging_gpu_bytes,compute_stream_handle,h2d_stream_handle,d2h_stream_handle,standard_elapsed_seconds,day10_elapsed_seconds,cross_layer_elapsed_seconds,diagnostic_speedup_over_day10,checks,failed_checks
PASS_BEHAVIORAL_EQUIVALENCE,1,4096,8,True,True,0.009982986375689507,0.9,0.01421318482607603,58820608,176461824,196,196,189,189,7,7,189,189,7,7,194,194,1234028544,1234028544,392,224,448,0,12604416,0,810931840,809309408,1.2986521581187844,22.607089469209313,25.59504360286519,0.8832604397938437,"{'same_generated_sequence': True, 'all_step_top1_equal': True, 'probability_total_variation_within_threshold': True, 'top10_overlap_within_threshold': True, 'cache_correct': True, 'd2h_correct': True, 'cross_layer_prefetch_correct': True, 'attention_correct': True, 'streams_distinct': True}",[]
PASS_BEHAVIORAL_EQUIVALENCE,2,4096,8,True,True,0.009982986375689507,0.9,0.01421318482607603,117641216,117641216,196,196,189,189,7,7,189,189,7,7,194,194,822685696,822685696,392,224,448,0,8402944,0,1616230992,813192752,1.2986521581187844,17.986703184898943,16.781846644822508,1.0717952300230413,"{'same_generated_sequence': True, 'all_step_top1_equal': True, 'probability_total_variation_within_threshold': True, 'top10_overlap_within_threshold': True, 'cache_correct': True, 'd2h_correct': True, 'cross_layer_prefetch_correct': True, 'attention_correct': True, 'streams_distinct': True}",[]
