sequence_length,status,prefill_time_overhead_percent,decode_first_step_overhead_percent,decode_steady_overhead_percent,standard_steady_decode_ms,offload_steady_decode_ms,prefill_allocated_gpu_saving_gib,prefill_allocated_gpu_saving_percent,offloaded_cache_cpu_gib,offloaded_cache_gpu_gib,offloaded_cache_cpu_percent,cache_ratio,paired_correctness_trials,all_generated_sequences_match
4096,ok,3.0504725621878004,21.619730317688955,24.181663077204153,15.759012863660852,19.56980425864458,0.1328125,2.1017826078787114,0.1338176727294922,0.007871627807617188,94.44444444444444,1.0,5,True
8192,ok,2.4416903498719167,76.27725023985414,77.2964225417947,16.06713203092416,28.486450295895338,0.265625,3.9199909645199074,0.2666301727294922,0.015684127807617188,94.44444444444444,1.0,5,True
16384,ok,2.0866077685220086,120.75730787138622,128.10188936756796,21.64841212021808,49.380437064295016,0.53125,6.907954925723078,0.5322551727294922,0.03130912780761719,94.44444444444444,1.0,5,True
32768,ok,1.4813597206570606,145.6995411012826,156.97593544285243,34.61804563179612,88.96004659434159,1.0625,11.162003550542888,1.0635051727294922,0.06255912780761719,94.44444444444444,1.0,5,True
