method,sequence_length,decode_tokens,decode_forward_steps,generated_token_ids,decode_step_latencies_ms,prefill_seconds,prefill_tokens_per_second,decode_first_step_ms,decode_all_mean_ms,decode_all_std_ms,decode_steady_mean_ms,decode_steady_std_ms,decode_steady_p50_ms,decode_steady_p95_ms,decode_steady_min_ms,decode_steady_max_ms,prefill_peak_gpu_allocated_gib,prefill_peak_gpu_reserved_gib,decode_peak_gpu_allocated_gib,decode_peak_gpu_reserved_gib,cpu_rss_before_gib,cpu_rss_after_prefill_gib,cpu_rss_after_decode_gib,cache_cpu_gib,cache_gpu_gib,cache_total_gib,theoretical_cache_gib,cache_ratio,trial,status,error
standard,4096,32,31,"[26362, 82, 198, 220, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]","[17.334927339106798, 15.750169288367033, 15.693684108555317, 15.723688993602991, 15.6999328173697, 15.64572099596262, 15.632941853255033, 15.65983286127448, 15.632330905646086, 15.722277108579874, 15.641755890101194, 15.566762071102858, 15.597809106111526, 15.742598101496696, 15.719003044068813, 15.730299986898899, 17.43466779589653, 15.95012191683054, 15.687325038015842, 15.698711853474379, 15.716188121587038, 15.648826956748962, 15.625080093741417, 15.628724824637175, 15.710488893091679, 15.724179800599813, 15.740003902465105, 15.654283575713634, 15.667623840272427, 15.707375016063452, 15.666051767766476]",0.19121552119031549,21420.85524492167,17.334927339106798,15.798496382851754,0.4288037876526711,15.747282017643252,0.3257285325028968,15.696197981014848,15.86014323402196,15.566762071102858,17.43466779589653,6.319040775299072,6.375,6.035293102264404,6.375,1.3410263061523438,1.3410263061523438,1.3410263061523438,0.0,0.14168930053710938,0.14168930053710938,0.14168930053710938,1.0,1,ok,
standard,4096,32,31,"[26362, 82, 198, 220, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]","[16.494284849613905, 15.756038017570972, 15.74269775301218, 15.66642289981246, 15.72042377665639, 15.787375625222921, 15.684258658438921, 15.697339083999395, 15.67504508420825, 15.71824075654149, 15.678741969168186, 15.672000125050545, 15.639011282473803, 15.65084932371974, 15.67356288433075, 15.77713992446661, 15.75700007379055, 15.671601053327322, 15.640242956578732, 15.661124140024185, 15.7501888461411, 15.72396932169795, 15.663737896829844, 18.352525774389505, 16.012745909392834, 15.813174657523632, 15.774575993418694, 15.764100942760706, 15.673333313316107, 15.638030134141445, 15.91975474730134]",0.191401450894773,21400.046764806724,16.494284849613905,15.833856057255499,0.49421293885180684,15.811841764176885,0.4869570470715857,15.707789920270443,15.970899886451662,15.638030134141445,18.352525774389505,6.319040775299072,6.375,6.035293102264404,6.375,1.3410263061523438,1.3410263061523438,1.3410263061523438,0.0,0.14168930053710938,0.14168930053710938,0.14168930053710938,1.0,2,ok,
standard,4096,32,31,"[26362, 82, 198, 220, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]","[16.842661891132593, 15.86803700774908, 15.73880109935999, 15.675926581025124, 15.724950935691595, 15.684098936617374, 15.814896672964096, 15.80476202070713, 15.709298197180033, 15.681545250117779, 15.65532572567463, 15.721576288342476, 15.74708428233862, 15.698720701038837, 15.729988925158978, 15.648344997316599, 15.727664809674025, 16.075381077826023, 15.723839867860079, 15.786264091730118, 15.741546172648668, 15.74271684512496, 16.075541265308857, 15.957252122461796, 15.758512075990438, 15.639231074601412, 15.678119845688343, 15.77794086188078, 15.78632416203618, 15.684819780290127, 15.695997048169374]",0.1912988033145666,21411.529654289825,16.842661891132593,15.793457116571165,0.22216944766913313,15.758483624085784,0.10879479102435882,15.728826867416501,16.02222304791212,15.639231074601412,16.075541265308857,6.319040775299072,6.375,6.035293102264404,6.375,1.3410263061523438,1.3410263061523438,1.3410263061523438,0.0,0.14168930053710938,0.14168930053710938,0.14168930053710938,1.0,3,ok,
standard,4096,32,31,"[26362, 82, 198, 220, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]","[17.789805307984352, 15.704298857599497, 15.680082608014345, 15.943430829793215, 15.754324849694967, 15.717048663645983, 15.661845915019512, 15.683958772569895, 15.6236682087183, 15.714794863015413, 15.693994238972664, 15.69959195330739, 15.734253916889429, 15.65339183434844, 15.793674159795046, 15.875227749347687, 15.715826768428087, 15.67680761218071, 15.679762233048677, 15.72835585102439, 15.772363170981407, 15.673153102397919, 15.67842997610569, 15.659831929951906, 15.661744866520166, 15.754335094243288, 15.760695096105337, 15.675665810704231, 15.701194759458303, 15.62253525480628, 15.737269073724747]",0.1917950129136443,21356.13401921052,17.789805307984352,15.781334300916042,0.37867617684267785,15.714385267347097,0.06783560964393069,15.700393356382847,15.838528634048998,15.62253525480628,15.943430829793215,6.319040775299072,6.375,6.035293102264404,6.375,1.3410263061523438,1.3410263061523438,1.3410263061523438,0.0,0.14168930053710938,0.14168930053710938,0.14168930053710938,1.0,4,ok,
standard,4096,32,31,"[26362, 82, 198, 220, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]","[16.51798002421856, 15.81542706117034, 15.69687807932496, 15.771291218698025, 15.804681926965714, 16.024483833462, 15.769969206303358, 15.678439754992723, 15.745521988719702, 15.713542699813843, 15.762658324092627, 15.769477933645248, 15.868326649069786, 15.72493091225624, 15.695787034928799, 15.752923209220171, 15.790019184350967, 15.790729783475399, 15.672861132770777, 15.638469718396664, 15.672211069613695, 15.930652152746916, 15.816939994692802, 15.689497347921133, 15.70017309859395, 15.72123495861888, 15.804830938577652, 15.772673301398754, 15.754925552755594, 15.86965937167406, 15.672931913286448]",0.19134278828278184,21406.60767390198,16.51798002421856,15.787423528250187,0.1584130471314466,15.763071645051241,0.08332271801451352,15.75879193842411,15.903205401264131,15.638469718396664,16.024483833462,6.319040775299072,6.375,6.035293102264404,6.375,1.3410263061523438,1.3410263061523438,1.3410263061523438,0.0,0.14168930053710938,0.14168930053710938,0.14168930053710938,1.0,5,ok,
layer_offload,4096,32,31,"[26362, 82, 198, 220, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]","[20.652083214372396, 19.64817475527525, 19.600823055952787, 19.469384104013443, 19.494593143463135, 19.493190106004477, 19.56028211861849, 19.52450769022107, 19.574271980673075, 19.528533797711134, 19.515274092555046, 19.497997127473354, 19.55461408942938, 19.601373933255672, 19.575375132262707, 19.490465987473726, 19.562935922294855, 19.533751998096704, 19.602124113589525, 19.56293499097228, 19.539189990609884, 19.598939921706915, 19.578970037400723, 19.608164206147194, 19.53628519549966, 19.524466712027788, 19.541824236512184, 19.540382083505392, 19.602776039391756, 19.53010493889451, 19.55522410571575]",0.1969700655899942,20795.038006059694,20.652083214372396,19.587065123261944,0.2019767734483107,19.55156452022493,0.04224974658377485,19.54821916297078,19.605739531107247,19.469384104013443,19.64817475527525,6.186228275299072,6.375,5.901475429534912,6.39453125,1.7243156433105469,1.7243156433105469,1.7243156433105469,0.1338176727294922,0.007871627807617188,0.14168930053710938,0.14168930053710938,1.0,1,ok,
layer_offload,4096,32,31,"[26362, 82, 198, 220, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]","[20.637650974094868, 19.54470807686448, 19.493309780955315, 19.471156876534224, 19.51911998912692, 19.530476070940495, 19.527130760252476, 19.508903846144676, 19.477566704154015, 19.498887937515974, 19.50432686135173, 19.485877826809883, 19.504958298057318, 19.504568073898554, 19.52730119228363, 19.5107557810843, 19.515804946422577, 19.56433802843094, 19.549665972590446, 19.516815897077322, 19.494772888720036, 19.51572299003601, 19.598559942096472, 19.531457219272852, 19.518707878887653, 19.520200788974762, 19.56194406375289, 19.51963920146227, 19.51809786260128, 19.53671593219042, 19.57709714770317]",0.19691777508705854,20800.560021507117,20.637650974094868,19.55762063904155,0.20237399525163782,19.521619627873104,0.028350825465934485,19.518402870744467,19.571355544030666,19.471156876534224,19.598559942096472,6.186228275299072,6.375,5.901475429534912,6.39453125,1.7243156433105469,1.7243156433105469,1.7243156433105469,0.1338176727294922,0.007871627807617188,0.14168930053710938,0.14168930053710938,1.0,2,ok,
layer_offload,4096,32,31,"[26362, 82, 198, 220, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]","[20.64171712845564, 19.547401927411556, 19.481942057609558, 19.462604075670242, 19.50157294049859, 19.546681083738804, 19.548493903130293, 19.502153154462576, 19.545719027519226, 19.48852324858308, 19.5166552439332, 19.47642397135496, 19.482983741909266, 19.509233999997377, 19.55061685293913, 19.52484715729952, 19.49954964220524, 19.532528705894947, 19.51596373692155, 19.494231790304184, 19.507071003317833, 19.517607055604458, 19.5407522842288, 19.563715904951096, 19.521523267030716, 19.526510033756495, 19.53601511195302, 19.53709591180086, 19.518938846886158, 19.52150324359536, 19.563385751098394]",0.19786538602784276,20700.94260662463,20.64171712845564,19.555611671098777,0.20321330162122178,19.51940815585355,0.026210999724536117,19.52022104524076,19.557639746926725,19.462604075670242,19.563715904951096,6.186228275299072,6.375,5.901475429534912,6.39453125,1.7243156433105469,1.7243156433105469,1.7243156433105469,0.1338176727294922,0.007871627807617188,0.14168930053710938,0.14168930053710938,1.0,3,ok,
layer_offload,4096,32,31,"[26362, 82, 198, 220, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]","[20.646694116294384, 19.535923842340708, 19.538878928869963, 19.493279978632927, 19.490655977278948, 19.48310388252139, 19.53713595867157, 19.458517897874117, 19.52770072966814, 19.50639020651579, 19.54368595033884, 19.528303295373917, 19.514352083206177, 19.54439701512456, 19.656116142868996, 19.50832223519683, 19.52666975557804, 19.54606967046857, 19.50999489054084, 19.51208896934986, 19.50644887983799, 19.52311396598816, 19.50378529727459, 19.59897903725505, 19.5310371927917, 19.515112042427063, 19.521201960742474, 19.540151115506887, 19.510565791279078, 19.50304489582777, 19.544937647879124]",0.19722778862342238,20767.86455188986,20.646694116294384,19.56150514043627,0.20436524419185553,19.525332174574334,0.03526499383068009,19.522157963365316,19.575169822201133,19.458517897874117,19.656116142868996,6.186228275299072,6.375,5.901475429534912,6.39453125,1.7243156433105469,1.7243156433105469,1.7243156433105469,0.1338176727294922,0.007871627807617188,0.14168930053710938,0.14168930053710938,1.0,4,ok,
layer_offload,4096,32,31,"[26362, 82, 198, 220, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]","[20.773887168616056, 19.567091017961502, 19.603897351771593, 19.59757786244154, 19.517716020345688, 19.565709866583347, 19.54092225059867, 21.74338372424245, 19.80158593505621, 19.504155963659286, 19.557266030460596, 19.50871292501688, 19.47952900081873, 19.504766911268234, 19.518648274242878, 19.50015965849161, 19.519219174981117, 19.50155198574066, 19.538328051567078, 19.529545214027166, 19.52752098441124, 19.554181955754757, 19.52980412170291, 19.518516957759857, 19.522374030202627, 22.359917405992746, 20.03414835780859, 19.51446244493127, 19.70049273222685, 19.5213221013546, 19.550396129488945]",0.19726721802726388,20763.713509833655,20.773887168616056,19.764735213210507,0.6614416997703442,19.731096814696986,0.6452163427905667,19.529674667865038,20.974227809347205,19.47952900081873,22.359917405992746,6.186228275299072,6.375,5.901475429534912,6.39453125,1.7243156433105469,1.7243156433105469,1.7243156433105469,0.1338176727294922,0.007871627807617188,0.14168930053710938,0.14168930053710938,1.0,5,ok,
