method,sequence_length,trial,decode_step,generated_token_position,generated_token_id,latency_ms,phase
standard,4096,4,18,19,15,15.67680761218071,steady
standard,4096,4,19,20,15,15.679762233048677,steady
standard,4096,4,20,21,15,15.72835585102439,steady
standard,4096,4,21,22,15,15.772363170981407,steady
standard,4096,4,22,23,15,15.673153102397919,steady
standard,4096,4,23,24,15,15.67842997610569,steady
standard,4096,4,24,25,15,15.659831929951906,steady
standard,4096,4,25,26,15,15.661744866520166,steady
standard,4096,4,26,27,15,15.754335094243288,steady
standard,4096,4,27,28,15,15.760695096105337,steady
standard,4096,4,28,29,15,15.675665810704231,steady
standard,4096,4,29,30,15,15.701194759458303,steady
standard,4096,4,30,31,15,15.62253525480628,steady
standard,4096,4,31,32,15,15.737269073724747,steady
standard,4096,5,1,2,82,16.51798002421856,first_step
standard,4096,5,2,3,198,15.81542706117034,steady
standard,4096,5,3,4,220,15.69687807932496,steady
standard,4096,5,4,5,16,15.771291218698025,steady
standard,4096,5,5,6,15,15.804681926965714,steady
standard,4096,5,6,7,15,16.024483833462,steady
standard,4096,5,7,8,15,15.769969206303358,steady
standard,4096,5,8,9,15,15.678439754992723,steady
standard,4096,5,9,10,15,15.745521988719702,steady
standard,4096,5,10,11,15,15.713542699813843,steady
standard,4096,5,11,12,15,15.762658324092627,steady
standard,4096,5,12,13,15,15.769477933645248,steady
standard,4096,5,13,14,15,15.868326649069786,steady
standard,4096,5,14,15,15,15.72493091225624,steady
standard,4096,5,15,16,15,15.695787034928799,steady
standard,4096,5,16,17,15,15.752923209220171,steady
standard,4096,5,17,18,15,15.790019184350967,steady
standard,4096,5,18,19,15,15.790729783475399,steady
standard,4096,5,19,20,15,15.672861132770777,steady
standard,4096,5,20,21,15,15.638469718396664,steady
standard,4096,5,21,22,15,15.672211069613695,steady
standard,4096,5,22,23,15,15.930652152746916,steady
standard,4096,5,23,24,15,15.816939994692802,steady
standard,4096,5,24,25,15,15.689497347921133,steady
standard,4096,5,25,26,15,15.70017309859395,steady
standard,4096,5,26,27,15,15.72123495861888,steady
standard,4096,5,27,28,15,15.804830938577652,steady
standard,4096,5,28,29,15,15.772673301398754,steady
standard,4096,5,29,30,15,15.754925552755594,steady
standard,4096,5,30,31,15,15.86965937167406,steady
standard,4096,5,31,32,15,15.672931913286448,steady
layer_offload,4096,1,1,2,82,20.652083214372396,first_step
layer_offload,4096,1,2,3,198,19.64817475527525,steady
layer_offload,4096,1,3,4,220,19.600823055952787,steady
layer_offload,4096,1,4,5,16,19.469384104013443,steady
layer_offload,4096,1,5,6,15,19.494593143463135,steady
layer_offload,4096,1,6,7,15,19.493190106004477,steady
layer_offload,4096,1,7,8,15,19.56028211861849,steady
layer_offload,4096,1,8,9,15,19.52450769022107,steady
layer_offload,4096,1,9,10,15,19.574271980673075,steady
layer_offload,4096,1,10,11,15,19.528533797711134,steady
layer_offload,4096,1,11,12,15,19.515274092555046,steady
layer_offload,4096,1,12,13,15,19.497997127473354,steady
layer_offload,4096,1,13,14,15,19.55461408942938,steady
layer_offload,4096,1,14,15,15,19.601373933255672,steady
layer_offload,4096,1,15,16,15,19.575375132262707,steady
layer_offload,4096,1,16,17,15,19.490465987473726,steady
layer_offload,4096,1,17,18,15,19.562935922294855,steady
layer_offload,4096,1,18,19,15,19.533751998096704,steady
layer_offload,4096,1,19,20,15,19.602124113589525,steady
layer_offload,4096,1,20,21,15,19.56293499097228,steady
layer_offload,4096,1,21,22,15,19.539189990609884,steady
layer_offload,4096,1,22,23,15,19.598939921706915,steady
layer_offload,4096,1,23,24,15,19.578970037400723,steady
layer_offload,4096,1,24,25,15,19.608164206147194,steady
layer_offload,4096,1,25,26,15,19.53628519549966,steady
layer_offload,4096,1,26,27,15,19.524466712027788,steady
layer_offload,4096,1,27,28,15,19.541824236512184,steady
layer_offload,4096,1,28,29,15,19.540382083505392,steady
layer_offload,4096,1,29,30,15,19.602776039391756,steady
layer_offload,4096,1,30,31,15,19.53010493889451,steady
layer_offload,4096,1,31,32,15,19.55522410571575,steady
layer_offload,4096,2,1,2,82,20.637650974094868,first_step
layer_offload,4096,2,2,3,198,19.54470807686448,steady
layer_offload,4096,2,3,4,220,19.493309780955315,steady
layer_offload,4096,2,4,5,16,19.471156876534224,steady
layer_offload,4096,2,5,6,15,19.51911998912692,steady
layer_offload,4096,2,6,7,15,19.530476070940495,steady
layer_offload,4096,2,7,8,15,19.527130760252476,steady
layer_offload,4096,2,8,9,15,19.508903846144676,steady
layer_offload,4096,2,9,10,15,19.477566704154015,steady
layer_offload,4096,2,10,11,15,19.498887937515974,steady
layer_offload,4096,2,11,12,15,19.50432686135173,steady
layer_offload,4096,2,12,13,15,19.485877826809883,steady
layer_offload,4096,2,13,14,15,19.504958298057318,steady
layer_offload,4096,2,14,15,15,19.504568073898554,steady
layer_offload,4096,2,15,16,15,19.52730119228363,steady
layer_offload,4096,2,16,17,15,19.5107557810843,steady
layer_offload,4096,2,17,18,15,19.515804946422577,steady
layer_offload,4096,2,18,19,15,19.56433802843094,steady
layer_offload,4096,2,19,20,15,19.549665972590446,steady
layer_offload,4096,2,20,21,15,19.516815897077322,steady
layer_offload,4096,2,21,22,15,19.494772888720036,steady
layer_offload,4096,2,22,23,15,19.51572299003601,steady
layer_offload,4096,2,23,24,15,19.598559942096472,steady
layer_offload,4096,2,24,25,15,19.531457219272852,steady
layer_offload,4096,2,25,26,15,19.518707878887653,steady
layer_offload,4096,2,26,27,15,19.520200788974762,steady
layer_offload,4096,2,27,28,15,19.56194406375289,steady
layer_offload,4096,2,28,29,15,19.51963920146227,steady
layer_offload,4096,2,29,30,15,19.51809786260128,steady
layer_offload,4096,2,30,31,15,19.53671593219042,steady
layer_offload,4096,2,31,32,15,19.57709714770317,steady
layer_offload,4096,3,1,2,82,20.64171712845564,first_step
layer_offload,4096,3,2,3,198,19.547401927411556,steady
layer_offload,4096,3,3,4,220,19.481942057609558,steady
layer_offload,4096,3,4,5,16,19.462604075670242,steady
layer_offload,4096,3,5,6,15,19.50157294049859,steady
layer_offload,4096,3,6,7,15,19.546681083738804,steady
layer_offload,4096,3,7,8,15,19.548493903130293,steady
layer_offload,4096,3,8,9,15,19.502153154462576,steady
layer_offload,4096,3,9,10,15,19.545719027519226,steady
layer_offload,4096,3,10,11,15,19.48852324858308,steady
layer_offload,4096,3,11,12,15,19.5166552439332,steady
layer_offload,4096,3,12,13,15,19.47642397135496,steady
layer_offload,4096,3,13,14,15,19.482983741909266,steady
layer_offload,4096,3,14,15,15,19.509233999997377,steady
layer_offload,4096,3,15,16,15,19.55061685293913,steady
layer_offload,4096,3,16,17,15,19.52484715729952,steady
layer_offload,4096,3,17,18,15,19.49954964220524,steady
layer_offload,4096,3,18,19,15,19.532528705894947,steady
layer_offload,4096,3,19,20,15,19.51596373692155,steady
layer_offload,4096,3,20,21,15,19.494231790304184,steady
layer_offload,4096,3,21,22,15,19.507071003317833,steady
layer_offload,4096,3,22,23,15,19.517607055604458,steady
layer_offload,4096,3,23,24,15,19.5407522842288,steady
layer_offload,4096,3,24,25,15,19.563715904951096,steady
layer_offload,4096,3,25,26,15,19.521523267030716,steady
layer_offload,4096,3,26,27,15,19.526510033756495,steady
layer_offload,4096,3,27,28,15,19.53601511195302,steady
layer_offload,4096,3,28,29,15,19.53709591180086,steady
layer_offload,4096,3,29,30,15,19.518938846886158,steady
layer_offload,4096,3,30,31,15,19.52150324359536,steady
layer_offload,4096,3,31,32,15,19.563385751098394,steady
layer_offload,4096,4,1,2,82,20.646694116294384,first_step
layer_offload,4096,4,2,3,198,19.535923842340708,steady
layer_offload,4096,4,3,4,220,19.538878928869963,steady
layer_offload,4096,4,4,5,16,19.493279978632927,steady
layer_offload,4096,4,5,6,15,19.490655977278948,steady
layer_offload,4096,4,6,7,15,19.48310388252139,steady
layer_offload,4096,4,7,8,15,19.53713595867157,steady
layer_offload,4096,4,8,9,15,19.458517897874117,steady
layer_offload,4096,4,9,10,15,19.52770072966814,steady
layer_offload,4096,4,10,11,15,19.50639020651579,steady
layer_offload,4096,4,11,12,15,19.54368595033884,steady
layer_offload,4096,4,12,13,15,19.528303295373917,steady
layer_offload,4096,4,13,14,15,19.514352083206177,steady
layer_offload,4096,4,14,15,15,19.54439701512456,steady
layer_offload,4096,4,15,16,15,19.656116142868996,steady
layer_offload,4096,4,16,17,15,19.50832223519683,steady
layer_offload,4096,4,17,18,15,19.52666975557804,steady
layer_offload,4096,4,18,19,15,19.54606967046857,steady
layer_offload,4096,4,19,20,15,19.50999489054084,steady
layer_offload,4096,4,20,21,15,19.51208896934986,steady
layer_offload,4096,4,21,22,15,19.50644887983799,steady
layer_offload,4096,4,22,23,15,19.52311396598816,steady
layer_offload,4096,4,23,24,15,19.50378529727459,steady
layer_offload,4096,4,24,25,15,19.59897903725505,steady
layer_offload,4096,4,25,26,15,19.5310371927917,steady
layer_offload,4096,4,26,27,15,19.515112042427063,steady
layer_offload,4096,4,27,28,15,19.521201960742474,steady
layer_offload,4096,4,28,29,15,19.540151115506887,steady
layer_offload,4096,4,29,30,15,19.510565791279078,steady
layer_offload,4096,4,30,31,15,19.50304489582777,steady
layer_offload,4096,4,31,32,15,19.544937647879124,steady
layer_offload,4096,5,1,2,82,20.773887168616056,first_step
layer_offload,4096,5,2,3,198,19.567091017961502,steady
layer_offload,4096,5,3,4,220,19.603897351771593,steady
layer_offload,4096,5,4,5,16,19.59757786244154,steady
layer_offload,4096,5,5,6,15,19.517716020345688,steady
