method,sequence_length,decode_tokens,decode_forward_steps,generated_token_ids,decode_step_latencies_ms,prefill_seconds,prefill_tokens_per_second,decode_first_step_ms,decode_all_mean_ms,decode_all_std_ms,decode_steady_mean_ms,decode_steady_std_ms,decode_steady_p50_ms,decode_steady_p95_ms,decode_steady_min_ms,decode_steady_max_ms,prefill_peak_gpu_allocated_gib,prefill_peak_gpu_reserved_gib,decode_peak_gpu_allocated_gib,decode_peak_gpu_reserved_gib,cpu_rss_before_gib,cpu_rss_after_prefill_gib,cpu_rss_after_decode_gib,cache_cpu_gib,cache_gpu_gib,cache_total_gib,theoretical_cache_gib,cache_ratio,trial,status,error
standard,4096,32,31,"[26362, 82, 198, 220, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]","[228.33187924697995, 20.08153311908245, 19.406902138143778, 15.774716157466173, 15.836219303309917, 15.794315841048956, 15.690378844738007, 15.684389974921942, 15.615656040608883, 15.638791024684906, 15.715266577899456, 15.630227979272604, 15.70393005385995, 15.656528063118458, 15.600633807480335, 15.7370800152421, 16.287001315504313, 20.399533677846193, 21.44031785428524, 23.198779672384262, 23.102212697267532, 22.143902722746134, 16.97298977524042, 16.755620948970318, 19.00572469457984, 16.4063130505383, 18.725831992924213, 15.687244012951851, 15.665491111576557, 15.65348356962204, 15.628245193511248]",13.333794357720762,307.18937836537606,228.33187924697995,24.16035937025182,37.97265026236041,17.354642041027546,2.5060056051200745,15.784515999257565,22.6709732087329,15.600633807480335,23.198779672384262,6.319040775299072,6.41015625,6.035293102264404,6.41015625,0.8185653686523438,1.2443466186523438,1.3410263061523438,0.0,0.14168930053710938,0.14168930053710938,0.14168930053710938,1.0,0,ok,
layer_offload,4096,32,31,"[26362, 82, 198, 220, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]","[230.99963925778866, 19.932233728468418, 21.269406657665968, 19.88240983337164, 19.490546081215143, 19.47854831814766, 19.517037086188793, 19.482434261590242, 19.49234865605831, 19.468984100967646, 19.507432356476784, 19.47683608159423, 19.570246804505587, 19.522134214639664, 19.65810963883996, 20.100159104913473, 19.56349704414606, 19.50304489582777, 19.535765051841736, 23.795879911631346, 20.013066940009594, 19.520242232829332, 19.576176069676876, 19.515484105795622, 19.547753036022186, 19.510475918650627, 19.513240084052086, 19.550406839698553, 19.62376805022359, 19.532660022377968, 19.52977618202567]",0.7848252840340137,5218.995976972733,230.99963925778866,26.602572340878748,37.94331916038349,19.789336776981752,0.8324814897283542,19.53121810220182,20.74324525892734,19.468984100967646,23.795879911631346,6.186228275299072,6.41015625,5.901475429534912,6.4296875,0.8219718933105469,1.3502922058105469,1.7243156433105469,0.1338176727294922,0.007871627807617188,0.14168930053710938,0.14168930053710938,1.0,0,ok,
standard,8192,32,31,"[220, 34187, 198, 220, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]","[64.56082314252853, 16.074346844106913, 15.91093884781003, 15.910007990896702, 15.926261898130178, 16.02609409019351, 15.983518678694963, 16.07787236571312, 16.01397478953004, 16.063068993389606, 16.108206938952208, 16.064591240137815, 16.904261894524097, 16.116118989884853, 15.951179899275303, 15.994654968380928, 15.932521782815456, 16.014385037124157, 15.983778983354568, 16.001356299966574, 16.045823227614164, 15.972633380442858, 16.49623503908515, 16.054315958172083, 15.94517007470131, 16.01996459066868, 16.038662288337946, 16.138463746756315, 15.996628906577826, 15.993292909115553, 16.01848192512989]",1.0090386969968677,8118.618269429394,64.56082314252853,17.623794700710043,8.713179197981303,16.05922708598276,0.19154170378190097,16.016433481127024,16.335237957537174,15.910007990896702,16.904261894524097,6.776163578033447,6.98046875,6.207274913787842,6.98046875,0.8212051391601562,1.2157363891601562,1.3124160766601562,0.0,0.2823143005371094,0.2823143005371094,0.2823143005371094,1.0,0,ok,
layer_offload,8192,32,31,"[220, 34187, 198, 220, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]","[369.84065640717745, 28.625027742236853, 28.484996873885393, 28.417584020644426, 28.445417061448097, 28.44026917591691, 28.387638740241528, 28.389983344823122, 28.45874708145857, 28.417996130883694, 28.462312184274197, 28.442481998354197, 28.425907716155052, 28.468781616538763, 28.448441065847874, 28.477806132286787, 28.456584084779024, 28.47006404772401, 28.455012012273073, 28.46726030111313, 28.44925271347165, 28.42459501698613, 28.46676902845502, 28.487179894000292, 28.440207708626986, 28.490935917943716, 28.47001375630498, 28.445246163755655, 28.4900339320302, 28.493267949670553, 28.49401021376252]",1.0373816867358983,7896.80414137247,369.84065640717745,39.47208000106677,61.313826833115435,28.45979412086308,0.04207621073458249,28.457665583118796,28.493676194921136,28.387638740241528,28.625027742236853,6.510538578033447,6.8125,5.94064474105835,6.8515625,0.8211441040039062,1.4813003540039062,2.1326675415039062,0.2666301727294922,0.015684127807617188,0.2823143005371094,0.2823143005371094,1.0,0,ok,
standard,16384,32,31,"[198, 220, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]","[71.0559100843966, 21.729886066168547, 21.638136822730303, 21.67738601565361, 21.628981921821833, 21.618857979774475, 21.63045620545745, 21.63247810676694, 21.653789561241865, 21.638347301632166, 21.648692898452282, 21.649504080414772, 21.66899386793375, 21.643804851919413, 21.677516866475344, 21.676884964108467, 21.687631960958242, 21.684968378394842, 21.687711123377085, 21.706359926611185, 21.710447035729885, 21.694252267479897, 21.694993134588003, 21.726549603044987, 21.721092984080315, 21.69520268216729, 21.704978309571743, 21.708493120968342, 21.714081056416035, 21.69993007555604, 21.98721468448639]",1.5831901649944484,10348.725227242334,71.0559100843966,23.28043657865736,8.866983548659809,21.687920795132715,0.06508700947383915,21.686300169676542,21.728384657762945,21.618857979774475,21.98721468448639,7.690409183502197,8.00390625,6.551208019256592,8.00390625,0.8230743408203125,1.2166290283203125,1.3133087158203125,0.0,0.5635643005371094,0.5635643005371094,0.5635643005371094,1.0,0,ok,
layer_offload,16384,32,31,"[198, 220, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]","[661.8587910197675, 49.507230054587126, 49.29891461506486, 49.34222996234894, 49.304604064673185, 49.28891034796834, 49.324934370815754, 49.267848022282124, 49.32232014834881, 49.32800866663456, 49.34640554711223, 49.33660198003054, 49.3294601328671, 49.318994861096144, 49.34245115146041, 49.34476315975189, 49.326395615935326, 49.33079332113266, 49.337653908878565, 49.35695184394717, 49.373036716133356, 49.32889901101589, 49.30943110957742, 49.39744295552373, 49.359526950865984, 49.492978025227785, 49.32907968759537, 49.37100317329168, 49.38879935070872, 52.42882715538144, 49.57930790260434]",1.6164595889858902,10135.731268282892,661.8587910197675,69.21201918814933,109.99198898562187,49.45712679376205,0.5650713272708433,49.33712794445455,49.546872870996594,49.267848022282124,52.42882715538144,7.159159183502197,8.00390625,6.0189528465271,8.04296875,0.8196296691894531,1.7463874816894531,2.953418731689453,0.5322551727294922,0.03130912780761719,0.5635643005371094,0.5635643005371094,1.0,0,ok,
standard,32768,32,31,"[220, 30434, 220, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]","[86.38455113396049, 34.695723094046116, 34.6109252423048, 34.57494080066681, 34.54841021448374, 34.624394960701466, 34.52597605064511, 34.60487490519881, 34.56395398825407, 34.589773043990135, 35.06086487323046, 34.600569400936365, 34.59468996152282, 34.58557603880763, 34.56770908087492, 34.636824391782284, 34.53003196045756, 34.61742494255304, 34.5979337580502, 34.59371905773878, 34.594880882650614, 34.610815346241, 35.01302283257246, 34.59771489724517, 34.62827065959573, 34.588520880788565, 34.56690814346075, 34.58494506776333, 34.58547592163086, 34.59148481488228, 34.6296732313931]",3.0936189899221063,10592.125309143212,86.38455113396049,36.29356708317514,9.29720564533726,34.62386761481563,0.11706345692911499,34.594785422086716,34.870237950235605,34.52597605064511,35.06086487323046,9.518900394439697,10.6875,7.239081859588623,10.6875,0.821075439453125,1.214630126953125,1.310333251953125,0.0,1.1260643005371094,1.1260643005371094,1.1260643005371094,1.0,0,ok,
layer_offload,32768,32,31,"[220, 30434, 220, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]","[1251.0233051143587, 89.16933089494705, 88.89372320845723, 91.30891459062696, 89.12099711596966, 88.87401223182678, 88.90081336721778, 88.86907622218132, 88.84970564395189, 88.91323208808899, 88.89731811359525, 88.88242579996586, 88.89378188177943, 88.92845502123237, 88.88962725177407, 88.86870509013534, 88.89906015247107, 88.94755318760872, 88.93236005678773, 88.91602465882897, 88.94245512783527, 88.95800868049264, 88.94090307876468, 88.9884359203279, 88.95268104970455, 88.8991397805512, 88.91782909631729, 88.94388703629375, 88.92187383025885, 88.94132310524583, 88.95454276353121]",3.1262820339761674,10481.459971902777,1251.0233051143587,126.49482261810091,208.70410028364782,89.01053986822565,0.4391493616669621,88.91985146328807,89.14758069440722,88.84970564395189,91.30891459062696,8.456400394439697,9.34375,6.175576686859131,9.4765625,0.8204116821289062,2.2784194946289062,4.594825744628906,1.0635051727294922,0.06255912780761719,1.1260643005371094,1.1260643005371094,1.0,0,ok,
