method,family,resident_kv_heads_r,sequence_length,status,successful_trials,prefill_wall_ms_mean,prefill_wall_ms_std,prefill_cuda_ms_mean,prefill_cuda_ms_std,time_to_first_token_wall_ms_mean,time_to_first_token_wall_ms_std,time_to_first_token_cuda_ms_mean,time_to_first_token_cuda_ms_std,prefill_tokens_per_second_mean,prefill_tokens_per_second_std,decode_first_step_wall_ms_mean,decode_first_step_wall_ms_std,decode_first_step_cuda_ms_mean,decode_first_step_cuda_ms_std,decode_steady_wall_mean_ms_mean,decode_steady_wall_mean_ms_std,decode_steady_cuda_mean_ms_mean,decode_steady_cuda_mean_ms_std,decode_steady_tokens_per_second_mean,decode_steady_tokens_per_second_std,prefill_peak_gpu_allocated_gib_mean,prefill_peak_gpu_allocated_gib_std,prefill_peak_gpu_reserved_gib_mean,prefill_peak_gpu_reserved_gib_std,decode_peak_gpu_allocated_gib_mean,decode_peak_gpu_allocated_gib_std,decode_peak_gpu_reserved_gib_mean,decode_peak_gpu_reserved_gib_std,cache_gpu_gib_mean,cache_gpu_gib_std,cache_cpu_gib_mean,cache_cpu_gib_std,cache_total_gib_mean,cache_total_gib_std,staging_gpu_gib_mean,staging_gpu_gib_std,h2d_gib_mean,h2d_gib_std,d2h_gib_mean,d2h_gib_std,async_h2d_event_total_ms_mean,async_h2d_event_total_ms_std,async_d2h_event_total_ms_mean,async_d2h_event_total_ms_std,async_d2h_append_calls_mean,async_d2h_append_calls_std,non_blocking_d2h_tensor_copies_mean,non_blocking_d2h_tensor_copies_std,blocking_d2h_tensor_copies_mean,blocking_d2h_tensor_copies_std,layer_prefetch_calls_mean,layer_prefetch_calls_std,lookahead_prefetch_calls_mean,lookahead_prefetch_calls_std,layer0_fallback_prefetch_calls_mean,layer0_fallback_prefetch_calls_std,layer_prefetch_hits_mean,layer_prefetch_hits_std,layer_prefetch_misses_mean,layer_prefetch_misses_std,layer_slot_reuse_waits_mean,layer_slot_reuse_waits_std,expected_layer_prefetches_mean,expected_layer_prefetches_std,expected_lookahead_prefetches_mean,expected_lookahead_prefetches_std,expected_layer0_fallbacks_mean,expected_layer0_fallbacks_std,expected_layer_slot_reuse_waits_mean,expected_layer_slot_reuse_waits_std,decode_steady_cuda_p50_ms_pooled,decode_steady_cuda_p95_ms_pooled,decode_steady_wall_p50_ms_pooled,decode_steady_wall_p95_ms_pooled,all_generated_sequences_match_standard,all_step_top1_match_standard,all_cross_layer_schedules_correct
standard,standard,,8192,ok,1,868.8457952812314,0.0,868.7564697265625,0.0,868.8457952812314,0.0,868.7564697265625,0.0,9429.570064184269,0.0,28.858741279691458,0.0,28.855295181274414,0.0,25.635403394699097,0.0,25.631397501627603,0.0,39.0146499010247,0.0,15.764001369476318,0.0,16.076171875,0.0,14.784679889678955,0.0,16.076171875,0.0,0.43915557861328125,0.0,0.0,0.0,0.43915557861328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.62446403503418,25.684275722503664,25.627943454310298,25.688087986782193,True,True,True
stagekv_bidirectional_r2,bidirectional,2,8192,ok,1,3101.2830319814384,0.0,3060.654052734375,0.0,3101.2830319814384,0.0,3060.654052734375,0.0,2676.5520894729357,0.0,2403.8357427343726,0.0,2403.792724609375,0.0,2632.2720749458917,0.0,2629.4395060221354,0.0,0.3803091866953876,0.0,15.54604959487915,0.0,16.021484375,0.0,14.529702186584473,0.0,16.041015625,0.0,0.21957778930664062,0.0,0.21957778930664062,0.0,0.43915557861328125,0.0,0.015684127807617188,0.0,6.793666839599609,0.0,0.21957778930664062,0.0,74139.86266565323,0.0,2044.113437768072,0.0,896.0,0.0,1792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2601.027587890625,3548.3028076171877,2601.082083536312,3548.376798327081,True,True,True
stagekv_cross_layer_r2,cross_layer,2,8192,ok,1,4346.936474088579,0.0,4343.15478515625,0.0,4346.936474088579,0.0,4343.15478515625,0.0,1886.186517689418,0.0,3603.933157864958,0.0,3603.99072265625,0.0,3106.5136447704085,0.0,3104.4934651692706,0.0,0.32211373971936375,0.0,15.54604959487915,0.0,16.021484375,0.0,14.529702186584473,0.0,16.041015625,0.0,0.21957778930664062,0.0,0.21957778930664062,0.0,0.43915557861328125,0.0,0.015684127807617188,0.0,6.793666839599609,0.0,0.21957778930664062,0.0,88855.66118502617,0.0,3912.194500826299,0.0,896.0,0.0,1792.0,0.0,0.0,0.0,868.0,0.0,837.0,0.0,31.0,0.0,837.0,0.0,31.0,0.0,866.0,0.0,868.0,0.0,837.0,0.0,31.0,0.0,866.0,0.0,3133.5555419921875,4150.936267089844,3133.5077562835068,4150.889480649494,True,True,True
