comparison,sequence_length,candidate_method,candidate_family,resident_kv_heads_r,prefill_cuda_overhead_percent,ttft_cuda_overhead_percent,decode_first_cuda_overhead_percent,steady_decode_cuda_overhead_percent,steady_decode_cuda_speed_ratio,peak_decode_gpu_allocated_saving_gib,persistent_kv_gpu_saving_gib,candidate_cpu_kv_gib,candidate_h2d_gib,candidate_d2h_gib,candidate_h2d_event_total_ms,candidate_d2h_event_total_ms,all_generated_sequences_match_standard,all_step_top1_match_standard,all_cross_layer_schedules_correct,reference_method,prefill_cuda_change_percent,steady_decode_cuda_change_percent,cross_layer_over_bidirectional_speed_ratio,minimum_confirmatory_speed_ratio,meets_confirmatory_speed_target,bidirectional_cuda_p95_ms,cross_layer_cuda_p95_ms,bidirectional_h2d_gib,cross_layer_h2d_gib,bidirectional_h2d_event_total_ms,cross_layer_h2d_event_total_ms,bidirectional_d2h_event_total_ms,cross_layer_d2h_event_total_ms,bidirectional_staging_gpu_gib,cross_layer_staging_gpu_gib,same_persistent_gpu_kv_gib
candidate_vs_standard,8192,stagekv_bidirectional_r2,bidirectional,2,252.3028788145547,252.3028788145547,8230.508177124148,10158.666176337694,0.009747855937710184,0.2549777030944824,0.21957778930664062,0.21957778930664062,6.793666839599609,0.21957778930664062,74139.86266565323,2044.113437768072,True,True,True,,,,,,,,,,,,,,,,,
candidate_vs_standard,8192,stagekv_cross_layer_r2,cross_layer,2,399.9277630154789,399.9277630154789,12389.876468132798,12012.07256635981,0.008256225303482823,0.2549777030944824,0.21957778930664062,0.21957778930664062,6.793666839599609,0.21957778930664062,88855.66118502617,3912.194500826299,True,True,True,,,,,,,,,,,,,,,,,
cross_layer_vs_bidirectional_same_residency,8192,stagekv_cross_layer_r2,cross_layer,2,,,,,,,,,,,,,True,True,True,stagekv_bidirectional_r2,41.90283221575122,18.066738483967093,0.8469785926506265,1.05,False,3548.3028076171877,4150.936267089844,6.793666839599609,6.793666839599609,74139.86266565323,88855.66118502617,2044.113437768072,3912.194500826299,0.015684127807617188,0.015684127807617188,True
