comparison,sequence_length,candidate_method,candidate_family,resident_kv_heads_r,prefill_cuda_overhead_percent,ttft_cuda_overhead_percent,decode_first_cuda_overhead_percent,steady_decode_cuda_overhead_percent,steady_decode_cuda_speed_ratio,peak_decode_gpu_allocated_saving_gib,persistent_kv_gpu_saving_gib,candidate_cpu_kv_gib,candidate_h2d_gib,candidate_d2h_gib,all_generated_sequences_match_standard,all_step_top1_match_standard,all_cross_layer_schedules_correct,reference_method,prefill_cuda_change_percent,steady_decode_cuda_change_percent,cross_layer_over_bidirectional_speed_ratio,minimum_confirmatory_speed_ratio,meets_confirmatory_speed_target,bidirectional_cuda_p95_ms,cross_layer_cuda_p95_ms,bidirectional_h2d_gib,cross_layer_h2d_gib,bidirectional_staging_gpu_gib,cross_layer_staging_gpu_gib,same_persistent_gpu_kv_gib
candidate_vs_standard,8192,stagekv_bidirectional_r2,bidirectional,2,301.4018243231064,301.4018243231064,14302.217293843949,11330.47397106014,0.008748543608356191,0.2549777030944824,0.21957778930664062,0.21957778930664062,6.793666839599609,0.21957778930664062,True,True,True,,,,,,,,,,,,,
candidate_vs_standard,8192,stagekv_cross_layer_r2,cross_layer,2,287.9137565724299,287.9137565724299,13378.335301042485,11280.21763802163,0.00878717817011664,0.2549777030944824,0.21957778930664062,0.21957778930664062,6.793666839599609,0.21957778930664062,True,True,True,,,,,,,,,,,,,
cross_layer_vs_bidirectional_same_residency,8192,stagekv_cross_layer_r2,cross_layer,2,,,,,,,,,,,True,True,True,stagekv_bidirectional_r2,-3.3602407695634606,-0.4396697211834888,1.0044161135258611,1.05,False,4254.545458984374,4405.310375976563,6.793666839599609,6.793666839599609,0.015684127807617188,0.015684127807617188,True
