status,generated_token_ids,step_top1_ids,prefill_wall_ms,prefill_cuda_ms,time_to_first_token_wall_ms,time_to_first_token_cuda_ms,prefill_tokens_per_second,decode_step_wall_ms,decode_step_cuda_ms,decode_step_h2d_event_ms,decode_first_step_wall_ms,decode_first_step_cuda_ms,decode_steady_wall_mean_ms,decode_steady_cuda_mean_ms,decode_steady_cuda_p50_ms,decode_steady_cuda_p95_ms,decode_steady_tokens_per_second,prefill_peak_gpu_allocated_gib,prefill_peak_gpu_reserved_gib,decode_peak_gpu_allocated_gib,decode_peak_gpu_reserved_gib,cpu_rss_before_gib,cpu_rss_after_gib,cpu_rss_delta_gib,cache_gpu_gib,cache_cpu_gib,cache_total_gib,cache_ratio,theoretical_cache_gib,staging_gpu_gib,h2d_group_transfers,h2d_gib,d2h_gib,async_prefetch_groups,async_h2d_event_total_ms,h2d_event_timing_available,async_d2h_append_calls,non_blocking_d2h_tensor_copies,blocking_d2h_tensor_copies,dedicated_transfer_stream_enabled,dedicated_d2h_stream_enabled,expected_layer_prefetches,layer_prefetch_calls,expected_lookahead_prefetches,lookahead_prefetch_calls,expected_layer0_fallbacks,layer0_fallback_prefetch_calls,layer_prefetch_hits,layer_prefetch_misses,expected_layer_slot_reuse_waits,layer_slot_reuse_waits,cross_layer_schedule_correct,generated_tokens,decode_forward_steps,method,family,resident_kv_heads_r,kv_group_size_g,sequence_length,trial,is_warmup,round_order_position,decode_tokens,same_generated_sequence_as_standard,all_step_top1_equal_as_standard
ok,"[26362, 82, 198]","[26362, 82, 198]",195.3661208972335,195.3574981689453,195.3661208972335,195.3574981689453,20966.689471308524,"[37.16864390298724, 36.179016809910536]","[37.1649284362793, 36.174110412597656]","[0.0, 0.0]",37.16864390298724,37.1649284362793,36.179016809910536,36.174110412597656,36.174110412597656,36.174110412597656,27.6440799398829,6.2731428146362305,6.392578125,5.998735427856445,6.392578125,1.4595375061035156,1.4595375061035156,0.0,0.07034683227539062,0.07034683227539062,0.14069366455078125,1.0,0.14069366455078125,0.007816314697265625,72,0.1406421661376953,0.07034683227539062,72,0.0,False,108,216,0,True,True,0,0,0,0,0,0,0,0,0,0,True,3,2,stagekv_bidirectional_r1,bidirectional,1,2,4096,1,False,0,3,True,True
ok,"[26362, 82, 198]","[26362, 82, 198]",193.3717899955809,193.3465576171875,193.3717899955809,193.3465576171875,21184.75782801259,"[37.25534584373236, 36.18936659768224]","[37.25107192993164, 36.18502426147461]","[0.0, 0.0]",37.25534584373236,37.25107192993164,36.18936659768224,36.18502426147461,36.18502426147461,36.18502426147461,27.63574214498117,6.2731428146362305,6.392578125,6.0006866455078125,6.392578125,1.4595375061035156,1.4595375061035156,0.0,0.07034683227539062,0.07034683227539062,0.14069366455078125,1.0,0.14069366455078125,0.0039081573486328125,72,0.1406421661376953,0.07034683227539062,72,0.0,False,108,216,0,True,True,72,72,70,70,2,2,70,2,70,70,True,3,2,stagekv_cross_layer_r1,cross_layer,1,2,4096,1,False,1,3,True,True
ok,"[26362, 82, 198]","[26362, 82, 198]",190.51214726641774,190.50802612304688,190.51214726641774,190.50802612304688,21500.406483422605,"[25.91414237394929, 25.77032195404172]","[25.909439086914062, 25.765823364257812]","[0.0, 0.0]",25.91414237394929,25.909439086914062,25.77032195404172,25.765823364257812,25.765823364257812,25.765823364257812,38.811102050291694,6.319040775299072,6.375,6.034045696258545,6.375,1.4595375061035156,1.4595375061035156,0.0,0.14069366455078125,0.0,0.14069366455078125,1.0,0.14069366455078125,0.0,0,0.0,0.0,0,0.0,False,0,0,0,False,False,0,0,0,0,0,0,0,0,0,0,True,3,2,standard,standard,,,4096,1,False,2,3,True,True
