method,family,resident_kv_heads_r,sequence_length,status,successful_trials,prefill_wall_ms_mean,prefill_wall_ms_std,prefill_cuda_ms_mean,prefill_cuda_ms_std,time_to_first_token_wall_ms_mean,time_to_first_token_wall_ms_std,time_to_first_token_cuda_ms_mean,time_to_first_token_cuda_ms_std,prefill_tokens_per_second_mean,prefill_tokens_per_second_std,decode_first_step_wall_ms_mean,decode_first_step_wall_ms_std,decode_first_step_cuda_ms_mean,decode_first_step_cuda_ms_std,decode_steady_wall_mean_ms_mean,decode_steady_wall_mean_ms_std,decode_steady_cuda_mean_ms_mean,decode_steady_cuda_mean_ms_std,decode_steady_tokens_per_second_mean,decode_steady_tokens_per_second_std,prefill_peak_gpu_allocated_gib_mean,prefill_peak_gpu_allocated_gib_std,prefill_peak_gpu_reserved_gib_mean,prefill_peak_gpu_reserved_gib_std,decode_peak_gpu_allocated_gib_mean,decode_peak_gpu_allocated_gib_std,decode_peak_gpu_reserved_gib_mean,decode_peak_gpu_reserved_gib_std,cache_gpu_gib_mean,cache_gpu_gib_std,cache_cpu_gib_mean,cache_cpu_gib_std,cache_total_gib_mean,cache_total_gib_std,staging_gpu_gib_mean,staging_gpu_gib_std,h2d_gib_mean,h2d_gib_std,d2h_gib_mean,d2h_gib_std,async_h2d_event_total_ms_mean,async_h2d_event_total_ms_std,async_d2h_append_calls_mean,async_d2h_append_calls_std,non_blocking_d2h_tensor_copies_mean,non_blocking_d2h_tensor_copies_std,blocking_d2h_tensor_copies_mean,blocking_d2h_tensor_copies_std,layer_prefetch_calls_mean,layer_prefetch_calls_std,lookahead_prefetch_calls_mean,lookahead_prefetch_calls_std,layer0_fallback_prefetch_calls_mean,layer0_fallback_prefetch_calls_std,layer_prefetch_hits_mean,layer_prefetch_hits_std,layer_prefetch_misses_mean,layer_prefetch_misses_std,layer_slot_reuse_waits_mean,layer_slot_reuse_waits_std,expected_layer_prefetches_mean,expected_layer_prefetches_std,expected_lookahead_prefetches_mean,expected_lookahead_prefetches_std,expected_layer0_fallbacks_mean,expected_layer0_fallbacks_std,expected_layer_slot_reuse_waits_mean,expected_layer_slot_reuse_waits_std,decode_steady_cuda_p50_ms_pooled,decode_steady_cuda_p95_ms_pooled,decode_steady_wall_p50_ms_pooled,decode_steady_wall_p95_ms_pooled,all_generated_sequences_match_standard,all_step_top1_match_standard,all_cross_layer_schedules_correct
standard,standard,,4096,ok,1,190.51214726641774,0.0,190.50802612304688,0.0,190.51214726641774,0.0,190.50802612304688,0.0,21500.406483422605,0.0,25.91414237394929,0.0,25.909439086914062,0.0,25.77032195404172,0.0,25.765823364257812,0.0,38.811102050291694,0.0,6.319040775299072,0.0,6.375,0.0,6.034045696258545,0.0,6.375,0.0,0.14069366455078125,0.0,0.0,0.0,0.14069366455078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.765823364257812,25.765823364257812,25.77032195404172,25.77032195404172,True,True,True
stagekv_bidirectional_r1,bidirectional,1,4096,ok,1,195.3661208972335,0.0,195.3574981689453,0.0,195.3661208972335,0.0,195.3574981689453,0.0,20966.689471308524,0.0,37.16864390298724,0.0,37.1649284362793,0.0,36.179016809910536,0.0,36.174110412597656,0.0,27.6440799398829,0.0,6.2731428146362305,0.0,6.392578125,0.0,5.998735427856445,0.0,6.392578125,0.0,0.07034683227539062,0.0,0.07034683227539062,0.0,0.14069366455078125,0.0,0.007816314697265625,0.0,0.1406421661376953,0.0,0.07034683227539062,0.0,0.0,0.0,108.0,0.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.174110412597656,36.174110412597656,36.179016809910536,36.179016809910536,True,True,True
stagekv_cross_layer_r1,cross_layer,1,4096,ok,1,193.3717899955809,0.0,193.3465576171875,0.0,193.3717899955809,0.0,193.3465576171875,0.0,21184.75782801259,0.0,37.25534584373236,0.0,37.25107192993164,0.0,36.18936659768224,0.0,36.18502426147461,0.0,27.63574214498117,0.0,6.2731428146362305,0.0,6.392578125,0.0,6.0006866455078125,0.0,6.392578125,0.0,0.07034683227539062,0.0,0.07034683227539062,0.0,0.14069366455078125,0.0,0.0039081573486328125,0.0,0.1406421661376953,0.0,0.07034683227539062,0.0,0.0,0.0,108.0,0.0,216.0,0.0,0.0,0.0,72.0,0.0,70.0,0.0,2.0,0.0,70.0,0.0,2.0,0.0,70.0,0.0,72.0,0.0,70.0,0.0,2.0,0.0,70.0,0.0,36.18502426147461,36.18502426147461,36.18936659768224,36.18936659768224,True,True,True
