sequence_length,status,prefill_time_overhead_percent,decode_time_overhead_percent,prefill_allocated_gpu_saving_gib,offloaded_cache_cpu_gib,offloaded_cache_gpu_gib,generated_sequences_match
4096,ok,2.8184507501781697,105.87434498482429,0.203125,0.2033233642578125,0.0156402587890625,True
8192,ok,2.1189703752222178,164.13730155907484,0.40625,0.4064483642578125,0.0312652587890625,True
16384,ok,1.7034029958763464,246.48619593249123,0.8125,0.8126983642578125,0.0625152587890625,True
32768,ok,1.5052101051551636,364.83385260123146,1.625,1.6251983642578125,0.1250152587890625,True
