name,direction,pinned,non_blocking,dedicated_stream,size_mib,repeats,wall_ms_mean,wall_ms_std,wall_ms_p50,wall_ms_p95,cuda_ms_mean,cuda_ms_std,cuda_ms_p50,cuda_ms_p95,wall_gib_per_s_mean,wall_gib_per_s_std,wall_gib_per_s_p50,wall_gib_per_s_p95,cuda_gib_per_s_mean,cuda_gib_per_s_std,cuda_gib_per_s_p50,cuda_gib_per_s_p95
d2h_pageable_blocking,d2h,False,False,False,4,20,0.32554680947214365,0.004054270196507937,0.3239207435399294,0.3314231988042593,0.3077279984951019,0.0040400753302977195,0.3055360019207001,0.31456160247325893,12.000795597335953,0.14818804633408994,12.059277373230266,12.136194313250822,12.6958984052145,0.16504003856940475,12.784915934331604,12.836744515985739
d2h_pageable_blocking,d2h,False,False,False,8,20,0.5557423690333962,0.003873262971362607,0.5552878137677908,0.5608734209090471,0.5376480013132096,0.003888821009352326,0.5374560058116913,0.5429360002279282,14.05842154376796,0.09797255004491914,14.069309092557427,14.186973726426876,14.531604787849416,0.10509946400455894,14.536073815715028,14.670025783990909
d2h_pageable_blocking,d2h,False,False,False,32,20,2.0971854915842414,0.005222786982874733,2.0976734813302755,2.103625563904643,2.0766352295875548,0.005634766572789374,2.0774240493774414,2.084614336490631,14.901010943809732,0.037076944053276974,14.897457024139836,14.950912796923312,15.048486976100808,0.04076350517557943,15.042667977942566,15.095324188511317
d2h_pageable_blocking,d2h,False,False,False,128,20,12.208762345835567,0.0470137449529727,12.197883566841483,12.245951825752854,12.187395191192627,0.0472498887120374,12.175872325897217,12.224844455718994,10.238690485300339,0.038933475649349236,10.24767938808106,10.260490956337344,10.256643055277511,0.03925979681489813,10.266204914598703,10.27778411423998
d2h_pinned_blocking,d2h,True,False,False,4,20,0.18986568320542574,0.0012861816890036542,0.18946267664432526,0.19206823781132698,0.17303039953112603,0.0008194412589119553,0.1727360039949417,0.17431999370455742,20.574648340737454,0.13885801467807696,20.617517579024394,20.730995732187772,22.57599284009836,0.10669862922186621,22.613988454395344,22.699566307756974
d2h_pinned_blocking,d2h,True,False,False,8,20,0.3505419474095106,0.002597407419428927,0.35005505196750164,0.355025427415967,0.3325904026627541,0.0006988907822924836,0.33267199993133545,0.3335551992058754,22.288063879769183,0.16264797793050148,22.317918160625418,22.41792138251271,23.48995261186937,0.04939833404960529,23.484092444246958,23.567520595976152
d2h_pinned_blocking,d2h,True,False,False,32,20,1.317571196705103,0.0386988540556477,1.3074919115751982,1.327703893184662,1.298361611366272,0.038593651045940223,1.288815975189209,1.305664050579071,23.735313076732343,0.6247090696871972,23.90072154592546,23.932370025285294,24.086870215377193,0.64009945061264,24.247061338770934,24.267275026667342
d2h_pinned_blocking,d2h,True,False,False,128,20,5.141166201792657,0.034445228342954756,5.133807891979814,5.146337184123695,5.120279979705811,0.034693127498137535,5.112943887710571,5.123395204544067,24.314559579662244,0.15866330667269504,24.348398435904976,24.37043993573585,24.413764111649325,0.16103945422264637,24.44775509891064,24.46048445263321
d2h_pinned_nonblocking_dedicated,d2h,True,True,True,4,20,0.1843659207224846,0.0011044609056715192,0.1841471530497074,0.1860375516116619,0.16668640077114105,0.0005660387476015923,0.16649599373340607,0.16757119446992874,21.188205169927443,0.12671870301481528,21.21265714646205,21.326116211927985,23.43498135352859,0.07939600555495475,23.461539351014366,23.525276944954356
d2h_pinned_nonblocking_dedicated,d2h,True,True,True,8,20,0.34410033840686083,0.002064525303705921,0.3437334671616554,0.3487917594611645,0.32598719745874405,0.0008925614263122709,0.3256800025701523,0.327201609313488,22.704902279213364,0.13489226110442806,22.72836598624857,22.821333739760266,23.965835287749893,0.06543029469792877,23.988271953438005,24.03479462757003
d2h_pinned_nonblocking_dedicated,d2h,True,True,True,32,20,1.3411649968475103,0.09828111458631904,1.3040208723396063,1.5091384993866086,1.2935392141342164,0.036618746615214894,1.2847039699554443,1.312009644508362,23.4015093584325,1.4519511083608831,23.964340343674003,24.006972956150967,24.175096071471586,0.6162224649619676,24.324669909040445,24.36548317475162
d2h_pinned_nonblocking_dedicated,d2h,True,True,True,128,20,5.121120880357921,0.0015015522280732055,5.121349124237895,5.12376744300127,5.101651215553284,0.0008285363980943473,5.101599931716919,5.1027039051055905,24.40872088905248,0.0071559323404542805,24.407631070161028,24.418115550591438,24.50187161968804,0.003979003850278257,24.502117319550578,24.507358794061346
d2h_pinned_nonblocking_default,d2h,True,True,False,4,20,0.18347373697906733,0.0012039440520647,0.18323096446692944,0.1855257200077176,0.1669360004365444,0.0008107336791164915,0.16659200191497803,0.168528001755476,21.291379916045695,0.1390534816884257,21.318731963187624,21.45113257129795,23.400207515729235,0.1130267036709416,23.448004436573108,23.520518291767104
d2h_pinned_nonblocking_default,d2h,True,True,False,8,20,0.3949326928704977,0.22426888603616033,0.3439637366682291,0.405784277245403,0.3264240026473999,0.0010751843258770437,0.3262079954147339,0.32777281254529955,21.817544346285015,3.7766899626813033,22.713150163019087,22.84745144243412,23.933840386703967,0.07830124442019751,23.949443867196592,24.011037020678195
d2h_pinned_nonblocking_default,d2h,True,True,False,32,20,1.3037703232839704,0.003526169375477146,1.303389435634017,1.3091272674500942,1.2835807979106904,0.0025263960100261815,1.2834399938583374,1.2849504411220551,23.969111567906516,0.06458163330772815,23.97595115749655,24.038384860863736,24.346043832236056,0.04765210846915078,24.348625689071536,24.383096912168646
d2h_pinned_nonblocking_default,d2h,True,True,False,128,20,5.122080119326711,0.005265413719084237,5.119741195812821,5.134350573644042,5.101584005355835,0.0017339146821327444,5.101039886474609,5.105569624900818,24.404172190047415,0.025029937258537627,24.415296637279052,24.419456552225967,24.50219648977831,0.008322111443022353,24.50480741432066,24.5086045549611
h2d_pageable_blocking,h2d,False,False,False,4,20,0.2723320620134473,0.008543329407303782,0.2704705111682415,0.2860381966456771,0.25208159908652306,0.0060197021369568,0.2505760043859482,0.2641903907060623,14.356431694780149,0.42747737816629183,14.44270092813504,14.733347150831417,15.504005854821655,0.3541461495885209,15.589084069637192,15.781045337842668
h2d_pageable_blocking,h2d,False,False,False,8,20,0.47077396884560585,0.008462046310661187,0.4685595631599426,0.4816350759938359,0.4515663981437683,0.007280812189404842,0.45027199387550354,0.45924799442291264,16.59990841013719,0.2868018548858682,16.673462284997694,16.845334016359786,17.30498461311721,0.26748376539826946,17.35064629334329,17.52279024914748
h2d_pageable_blocking,h2d,False,False,False,32,20,3.166730422526598,0.22447202158416593,3.088368335738778,3.749399841763079,3.1398319840431212,0.22356490099211954,3.0625439882278442,3.7171311259269717,9.908262831486097,0.5949568691303899,10.118611713078248,10.21339508294666,9.993460561537992,0.6020365788492471,10.203935131049917,10.304359646900654
h2d_pageable_blocking,h2d,False,False,False,128,20,12.846512533724308,0.4474517462808181,12.718736194074154,13.946458953432739,12.811279916763306,0.43516095461487847,12.688479900360107,13.85164794921875,9.740693966671223,0.3152823764814564,9.828039656852962,10.000116885861324,9.766993688493429,0.3090520386531951,9.851474771756898,10.024860963289234
h2d_pinned_blocking,h2d,True,False,False,4,20,0.8787771686911583,0.03207568596906551,0.8692403789609671,0.9146403055638075,0.8571311980485916,0.01475989845566758,0.8523359894752502,0.8886623948812485,4.4501348308184205,0.14539275101772123,4.493866285902614,4.53041883288917,4.558594722528628,0.07587318523818555,4.582993279339808,4.619404943136387
h2d_pinned_blocking,h2d,True,False,False,8,20,1.781069510616362,0.025836227445606482,1.774318516254425,1.8246302846819162,1.76356959939003,0.025703927200029026,1.756928026676178,1.8063375473022463,4.38725429049886,0.0613213360353265,4.4030993327462244,4.431417614679844,4.43079714363412,0.06222256858005722,4.446682117499259,4.474685575704668
h2d_pinned_blocking,h2d,True,False,False,32,20,6.263124453835189,1.9390402521176884,7.258732570335269,7.4066156055778265,6.237499213218689,1.9387729309119026,7.234352111816406,7.383942389488221,6.016436890836839,3.575877238145086,4.305160822977928,14.251860363796801,6.055848753280039,3.6282064474739344,4.319668137042574,14.385291530034822
h2d_pinned_blocking,h2d,True,False,False,128,20,10.954515007324517,4.710656642111879,9.541254490613937,18.58596075326205,10.934558391571045,4.70985575559437,9.52291202545166,18.560939121246346,12.348431826831762,2.348594175510407,13.101012348366137,13.197867562782909,12.373315830171377,2.354994058471712,13.126247866172916,13.224690108368927
h2d_pinned_nonblocking_dedicated,h2d,True,True,True,4,20,0.9973101550713181,0.07114508997072513,0.9910855442285538,1.1269718408584595,0.9793696016073227,0.07121349551657898,0.9731040000915527,1.1096288204193114,3.935225165516254,0.2725504770932348,3.9415413823047127,4.2342509137882995,4.008036634249106,0.2828117477106924,4.014412392131232,4.324364140585768
h2d_pinned_nonblocking_dedicated,h2d,True,True,True,8,20,2.5320004671812057,3.295930385847093,1.7658926080912352,2.9161034384742477,1.775379192829132,0.09687027926087856,1.7468640208244324,1.854348742961884,4.168203186248018,0.8930588457600245,4.424108235600702,4.4802092733711945,4.410926512610292,0.20204178955068736,4.4723003382734845,4.528679985978757
h2d_pinned_nonblocking_dedicated,h2d,True,True,True,32,20,7.00354112777859,0.12584008235960412,6.9870250299572945,7.185397832654417,6.9832432746887205,0.12599204267586334,6.967088222503662,7.165787291526795,4.463369479030852,0.07858459689582925,4.472620281305383,4.552327440112696,4.476354001750766,0.07913566355513982,4.485420029771637,4.566155436360439
h2d_pinned_nonblocking_dedicated,h2d,True,True,True,128,20,26.570507581345737,0.7264629445572501,26.596819516271353,27.680653776042163,26.54754066467285,0.728326384581538,26.57695960998535,27.66010446548462,4.707796855743932,0.12836430625548922,4.699921578372718,4.898093099196663,4.711892201783369,0.1288997343744513,4.7034357739111226,4.901854052917945
h2d_pinned_nonblocking_default,h2d,True,True,False,4,20,4.16706393007189,13.439863745661961,0.8916326332837343,8.67812179494653,0.8847680002450943,0.02560858396285214,0.872736006975174,0.9233952224254609,3.912579232067575,1.229205043834226,4.381008357087159,4.394833478027021,4.418297160657897,0.12000869682774712,4.475866718043159,4.4810259391812295
h2d_pinned_nonblocking_default,h2d,True,True,False,8,20,4.930903762578964,14.000938466986701,1.7742528580129147,5.2822635276243535,1.7824320137500762,0.08952054737687568,1.7556959986686707,1.8322720348834993,4.13739091261536,0.9629227693437624,4.40326189684883,4.430327903448328,4.39195901743381,0.18678184371270898,4.449802291765675,4.476984293318344
h2d_pinned_nonblocking_default,h2d,True,True,False,32,20,2.42001679725945,0.011563987818426102,2.4202875792980194,2.4426712188869715,2.3994383931159975,0.010739815818109512,2.3996479511260986,2.4192063093185423,12.913412359862425,0.06142770047488624,12.911697902426187,12.98006127472204,13.024127826862843,0.0580578022197992,13.022749624228094,13.08682623290481
h2d_pinned_nonblocking_default,h2d,True,True,False,128,20,26.085872505791485,0.5950222034424659,26.14385518245399,26.88592199701816,26.0642128944397,0.5941536601227841,26.122447967529297,26.860477447509766,4.794244559968061,0.10979566339374215,4.781249469075837,4.9628585113884,4.7982255807280145,0.10981570441972584,4.785167574639831,4.966677543387993
