comparison,sequence_length,candidate_method,candidate_family,resident_kv_heads_r,prefill_cuda_overhead_percent,ttft_cuda_overhead_percent,decode_first_cuda_overhead_percent,steady_decode_cuda_overhead_percent,steady_decode_cuda_speed_ratio,peak_decode_gpu_allocated_saving_gib,persistent_kv_gpu_saving_gib,candidate_cpu_kv_gib,candidate_h2d_gib,candidate_d2h_gib,all_generated_sequences_match_standard,all_step_top1_match_standard,all_cross_layer_schedules_correct,reference_method,prefill_cuda_change_percent,steady_decode_cuda_change_percent,cross_layer_over_bidirectional_speed_ratio,minimum_confirmatory_speed_ratio,meets_confirmatory_speed_target,bidirectional_cuda_p95_ms,cross_layer_cuda_p95_ms,bidirectional_h2d_gib,cross_layer_h2d_gib,bidirectional_staging_gpu_gib,cross_layer_staging_gpu_gib,same_persistent_gpu_kv_gib
candidate_vs_standard,4096,stagekv_bidirectional_r2,bidirectional,2,475.9496024389304,475.9496024389304,7757.688186674311,8019.249458764259,0.012316409356292878,0.12282943725585938,0.11020278930664062,0.11020278930664062,3.4030418395996094,0.11020278930664062,True,True,True,,,,,,,,,,,,,
candidate_vs_standard,4096,stagekv_cross_layer_r2,cross_layer,2,474.4778226439311,474.4778226439311,9445.715308112935,7921.596733832746,0.012466345955566338,0.12282943725585938,0.11020278930664062,0.11020278930664062,3.4030418395996094,0.11020278930664062,True,True,True,,,,,,,,,,,,,
cross_layer_vs_bidirectional_same_residency,4096,stagekv_cross_layer_r2,cross_layer,2,,,,,,,,,,,True,True,True,stagekv_bidirectional_r2,-0.25553968416105466,-1.2027309350139848,1.0121737265250002,1.05,False,2352.0168823242175,2253.108044433592,3.4030418395996094,3.4030418395996094,0.007871627807617188,0.007871627807617188,True
