sequence_length,status,prefill_time_overhead_percent,decode_first_step_overhead_percent,decode_steady_overhead_percent,standard_steady_decode_ms,offload_steady_decode_ms,prefill_allocated_gpu_saving_gib,prefill_allocated_gpu_saving_percent,offloaded_cache_cpu_gib,offloaded_cache_gpu_gib,offloaded_cache_cpu_percent,cache_ratio,paired_correctness_trials,all_generated_sequences_match
4096,ok,2.1604115209919117,49.69197382519144,53.273160564068725,20.71047628298402,31.743601566801466,0.203125,1.354233350990953,0.20466232299804688,0.015743255615234375,92.85714285714286,1.0,5,True
8192,ok,1.9690091277877686,79.70025075103347,84.32572340009857,25.505788360411923,47.01372890422741,0.40625,2.577074122732683,0.4077873229980469,0.031368255615234375,92.85714285714286,1.0,5,True
16384,ok,1.5898942624804624,114.6265687004615,121.06902147157119,34.914292165388666,77.18468404375017,0.8125,4.699197716986641,0.8140373229980469,0.06261825561523438,92.85714285714286,1.0,5,True
32768,ok,0.8252478659924734,150.7358934659799,160.22478774024708,52.21202841339012,135.86864011362195,1.625,7.986934871201033,1.6265373229980469,0.12511825561523438,92.85714285714286,1.0,5,True
