method,sequence_length,status,successful_trials,prefill_seconds_mean,prefill_seconds_std,prefill_tokens_per_second_mean,prefill_tokens_per_second_std,decode_first_step_ms_mean,decode_first_step_ms_std,decode_all_mean_ms_mean,decode_all_mean_ms_std,decode_steady_mean_ms_mean,decode_steady_mean_ms_std,decode_steady_p50_ms_mean,decode_steady_p50_ms_std,decode_steady_p95_ms_mean,decode_steady_p95_ms_std,prefill_peak_gpu_allocated_gib_mean,prefill_peak_gpu_allocated_gib_std,prefill_peak_gpu_reserved_gib_mean,prefill_peak_gpu_reserved_gib_std,decode_peak_gpu_allocated_gib_mean,decode_peak_gpu_allocated_gib_std,decode_peak_gpu_reserved_gib_mean,decode_peak_gpu_reserved_gib_std,cpu_rss_after_prefill_gib_mean,cpu_rss_after_prefill_gib_std,cpu_rss_after_decode_gib_mean,cpu_rss_after_decode_gib_std,cache_cpu_gib_mean,cache_cpu_gib_std,cache_gpu_gib_mean,cache_gpu_gib_std,cache_total_gib_mean,cache_total_gib_std,cache_ratio_mean,cache_ratio_std,decode_steady_p50_ms_pooled,decode_steady_p95_ms_pooled
standard,4096,ok,5,0.40512981116771696,0.00010609614351802263,10110.340221348364,2.6475542649927553,21.690428350120783,0.08243848085133061,20.74208763998843,0.004212637551937568,20.71047628298402,0.005595260769413678,20.69862401112914,0.00634331717823376,20.770146432332695,0.03680288078592988,14.999261379241943,0.0,15.20703125,0.0,14.511195659637451,0.0,15.20703125,0.0,1.3045158386230469,0.0,1.3045158386230469,0.0,0.0,0.0,0.22040557861328125,0.0,0.22040557861328125,0.0,1.0,0.0,20.69887053221464,20.793678448535502
standard,8192,ok,5,0.8647921744734048,0.0012205255842181989,9472.81126201569,13.364799742218027,26.691650692373514,0.2226147268557846,25.544041984023586,0.008830079631991799,25.505788360411923,0.0028497929891341933,25.503448862582445,0.0032975017691015706,25.5512304417789,0.01997140870511828,15.764001369476318,0.0,16.076171875,0.0,14.784740924835205,0.0,16.076171875,0.0,1.3113861083984375,0.0,1.3113861083984375,0.0,0.0,0.0,0.43915557861328125,0.0,0.43915557861328125,0.0,1.0,0.0,25.502648670226336,25.55164941586554
standard,16384,ok,5,1.9196918619796635,0.00199126029393419,8534.710401157416,8.852094275159684,36.780678015202284,0.1497517798194669,34.97449816054394,0.008862158160100298,34.914292165388666,0.004437137683636168,34.91368470713496,0.004540827651723979,34.95122203603387,0.010166117847444844,17.29018545150757,0.0,17.798828125,0.0,15.331462383270264,0.0,17.798828125,0.0,1.3124809265136719,0.0,1.3124809265136719,0.0,0.0,0.0,0.8766555786132812,0.0,0.8766555786132812,0.0,1.0,0.0,34.914059564471245,34.95943467132747
standard,32768,ok,5,4.552802656311542,0.01320084763323447,7197.373379711879,20.89278349504075,55.140999890863895,0.24592660315361545,52.306511364276375,0.019824997760510266,52.21202841339012,0.01716863299167716,52.22521210089326,0.00941976800486159,52.333145407028496,0.01824949893381353,20.34572744369507,0.0,21.462890625,0.0,16.425578594207764,0.0,21.462890625,0.0,1.3065185546875,0.0,1.3065185546875,0.0,0.0,0.0,1.7516555786132812,0.0,1.7516555786132812,0.0,1.0,0.0,52.22622770816088,52.34410520642996
layer_offload,4096,ok,5,0.4138822822831571,0.0003862188277589332,9896.540701736652,9.231629719177462,32.468830328434706,0.09523558109383073,31.766996042983184,0.020167319511396005,31.743601566801466,0.02075057889260617,31.72799195162952,0.004677938625376468,31.82457466609776,0.05149388522618127,14.796136379241943,0.0,15.0625,0.0,14.306533336639404,0.0,15.1015625,0.0,1.9456825256347656,0.0,1.9456825256347656,0.0,0.20466232299804688,0.0,0.015743255615234375,0.0,0.22040557861328125,0.0,1.0,0.0,31.72954893670976,31.8148004822433
layer_offload,8192,ok,5,0.8818200113251805,0.0011410356340599871,9289.890068630455,12.012698985902293,47.96496322378516,0.07271917224711062,47.04441388227767,0.03755670069153168,47.01372890422741,0.039026927987677734,46.974876802414656,0.007185951048023396,47.0459383353591,0.028608374183412062,15.357751369476318,0.0,16.076171875,0.0,14.376953601837158,0.0,16.115234375,0.0,2.5803260803222656,0.0,2.5803260803222656,0.0,0.4077873229980469,0.0,0.031368255615234375,0.0,0.43915557861328125,0.0,1.0,0.0,46.974184922873974,47.04559110105038
layer_offload,16384,ok,5,1.9502129327505826,0.0010353864645280225,8401.135803677422,4.459839273278015,78.94110716879368,0.23808374313919595,77.24134285423544,0.019054965293154313,77.18468404375017,0.013028196262005602,77.1755944006145,0.008499831277890847,77.31897835154086,0.07205331561807728,16.47768545150757,0.0,17.220703125,0.0,14.517425060272217,0.0,17.353515625,0.0,3.844463348388672,0.0,3.844463348388672,0.0,0.8140373229980469,0.0,0.06261825561523438,0.0,0.8766555786132812,0.0,1.0,0.0,77.17757881619036,77.33095199801028
layer_offload,32768,ok,5,4.590374563075602,0.001152047014891169,7138.415656782945,1.7919809777898277,138.2582787424326,0.20335169996275618,135.94572523068035,0.016079570163489616,135.86864011362195,0.014726758776613814,135.86751567199826,0.01656074593637133,136.0131782712415,0.015245843905132861,18.72072744369507,0.0,20.306640625,0.0,14.799041271209717,0.0,20.564453125,0.0,6.372661590576172,0.0,6.372661590576172,0.0,1.6265373229980469,0.0,0.12511825561523438,0.0,1.7516555786132812,0.0,1.0,0.0,135.87223272770643,136.01975545752794
