method,sequence_length,trial,decode_step,generated_token_position,generated_token_id,latency_ms,phase
standard,4096,1,1,2,16,21.624192129820585,first_step
standard,4096,1,2,3,15,20.683092065155506,steady
standard,4096,1,3,4,15,20.673596765846014,steady
standard,4096,1,4,5,4,20.667769014835358,steady
standard,4096,1,5,6,220,20.676701795309782,steady
standard,4096,1,6,7,16,20.718185231089592,steady
standard,4096,1,7,8,15,21.03441208600998,steady
standard,4096,1,8,9,15,20.68480523303151,steady
standard,4096,1,9,10,4,20.6860457547009,steady
standard,4096,1,10,11,220,20.667628850787878,steady
standard,4096,1,11,12,16,20.695239771157503,steady
standard,4096,1,12,13,15,20.70101909339428,steady
standard,4096,1,13,14,15,20.704424008727074,steady
standard,4096,1,14,15,4,20.6615193746984,steady
standard,4096,1,15,16,220,20.710533019155264,steady
standard,4096,1,16,17,16,20.698023959994316,steady
standard,4096,1,17,18,15,20.72048792615533,steady
standard,4096,1,18,19,15,20.686427131295204,steady
standard,4096,1,19,20,4,20.70975210517645,steady
standard,4096,1,20,21,220,20.706426817923784,steady
standard,4096,1,21,22,16,20.705776289105415,steady
standard,4096,1,22,23,15,20.706045906990767,steady
standard,4096,1,23,24,15,20.800037775188684,steady
standard,4096,1,24,25,4,20.71353793144226,steady
standard,4096,1,25,26,220,20.735790953040123,steady
standard,4096,1,26,27,16,20.69831406697631,steady
standard,4096,1,27,28,15,20.683883223682642,steady
standard,4096,1,28,29,15,20.740327890962362,steady
standard,4096,1,29,30,4,20.710363052785397,steady
standard,4096,1,30,31,220,20.699166227132082,steady
standard,4096,1,31,32,16,20.6985748372972,steady
standard,4096,2,1,2,16,21.78076934069395,first_step
standard,4096,2,2,3,15,20.711825229227543,steady
standard,4096,2,3,4,15,20.673025865107775,steady
standard,4096,2,4,5,4,20.686717238277197,steady
standard,4096,2,5,6,220,20.64868016168475,steady
standard,4096,2,6,7,16,20.696100778877735,steady
standard,4096,2,7,8,15,20.693216007202864,steady
standard,4096,2,8,9,15,20.684242714196444,steady
standard,4096,2,9,10,4,20.677973981946707,steady
standard,4096,2,10,11,220,20.786738023161888,steady
standard,4096,2,11,12,16,20.722842309623957,steady
standard,4096,2,12,13,15,20.709542091935873,steady
standard,4096,2,13,14,15,20.711123943328857,steady
standard,4096,2,14,15,4,20.697582978755236,steady
standard,4096,2,15,16,220,20.689531229436398,steady
standard,4096,2,16,17,16,20.705996081233025,steady
standard,4096,2,17,18,15,20.708720199763775,steady
standard,4096,2,18,19,15,20.70321189239621,steady
standard,4096,2,19,20,4,20.710463169962168,steady
standard,4096,2,20,21,220,20.71723435074091,steady
standard,4096,2,21,22,16,20.69947589188814,steady
standard,4096,2,22,23,15,20.668318960815668,steady
standard,4096,2,23,24,15,20.720838103443384,steady
standard,4096,2,24,25,4,20.720387808978558,steady
standard,4096,2,25,26,220,20.715539809316397,steady
standard,4096,2,26,27,16,20.67273622378707,steady
standard,4096,2,27,28,15,20.972589030861855,steady
standard,4096,2,28,29,15,20.730653312057257,steady
standard,4096,2,29,30,4,20.70628572255373,steady
standard,4096,2,30,31,220,20.68008715286851,steady
standard,4096,2,31,32,16,20.71212511509657,steady
standard,4096,3,1,2,16,21.606225054711103,first_step
standard,4096,3,2,3,15,20.73620120063424,steady
standard,4096,3,3,4,15,21.03859791532159,steady
standard,4096,3,4,5,4,20.690131932497025,steady
standard,4096,3,5,6,220,20.66369168460369,steady
standard,4096,3,6,7,16,20.695970859378576,steady
standard,4096,3,7,8,15,20.69012215360999,steady
standard,4096,3,8,9,15,20.701759960502386,steady
standard,4096,3,9,10,4,20.674327854067087,steady
standard,4096,3,10,11,220,20.703132264316082,steady
standard,4096,3,11,12,16,20.70312201976776,steady
standard,4096,3,12,13,15,20.705515053123236,steady
standard,4096,3,13,14,15,20.68640710785985,steady
standard,4096,3,14,15,4,20.688919816166162,steady
standard,4096,3,15,16,220,20.695130340754986,steady
standard,4096,3,16,17,16,20.67541005089879,steady
standard,4096,3,17,18,15,20.709621720016003,steady
standard,4096,3,18,19,15,20.69816505536437,steady
standard,4096,3,19,20,4,20.69915598258376,steady
standard,4096,3,20,21,220,20.677984226495028,steady
standard,4096,3,21,22,16,20.705564878880978,steady
standard,4096,3,22,23,15,20.79935697838664,steady
standard,4096,3,23,24,15,20.712004974484444,steady
standard,4096,3,24,25,4,20.738514605909586,steady
standard,4096,3,25,26,220,20.694278180599213,steady
standard,4096,3,26,27,16,20.701979752629995,steady
standard,4096,3,27,28,15,20.706235896795988,steady
standard,4096,3,28,29,15,20.70624614134431,steady
standard,4096,3,29,30,4,20.686957985162735,steady
standard,4096,3,30,31,220,20.68881969898939,steady
standard,4096,3,31,32,16,20.710371900349855,steady
standard,4096,4,1,2,16,21.77404798567295,first_step
standard,4096,4,2,3,15,20.718906074762344,steady
standard,4096,4,3,4,15,20.698585081845522,steady
standard,4096,4,4,5,4,20.67599119618535,steady
standard,4096,4,5,6,220,20.677391905337572,steady
standard,4096,4,6,7,16,20.667146891355515,steady
standard,4096,4,7,8,15,20.70636674761772,steady
standard,4096,4,8,9,15,20.701670087873936,steady
standard,4096,4,9,10,4,20.671033300459385,steady
standard,4096,4,10,11,220,20.681669004261494,steady
standard,4096,4,11,12,16,20.702490117400885,steady
standard,4096,4,12,13,15,20.69683186709881,steady
standard,4096,4,13,14,15,20.64774790778756,steady
standard,4096,4,14,15,4,20.68203967064619,steady
standard,4096,4,15,16,220,20.690793171525,steady
standard,4096,4,16,17,16,20.710092969238758,steady
standard,4096,4,17,18,15,20.690102130174637,steady
standard,4096,4,18,19,15,20.867779850959778,steady
standard,4096,4,19,20,4,20.705104805529118,steady
standard,4096,4,20,21,220,20.707768853753805,steady
standard,4096,4,21,22,16,20.66231006756425,steady
standard,4096,4,22,23,15,20.688689779490232,steady
standard,4096,4,23,24,15,20.696402061730623,steady
standard,4096,4,24,25,4,20.714559126645327,steady
standard,4096,4,25,26,220,20.704934373497963,steady
standard,4096,4,26,27,16,20.690332166850567,steady
standard,4096,4,27,28,15,20.71876497939229,steady
standard,4096,4,28,29,15,20.71958687156439,steady
standard,4096,4,29,30,4,20.72115894407034,steady
standard,4096,4,30,31,220,20.689952187240124,steady
standard,4096,4,31,32,16,20.717542618513107,steady
standard,4096,5,1,2,16,21.666907239705324,first_step
standard,4096,5,2,3,15,20.707629155367613,steady
standard,4096,5,3,4,15,20.67789388820529,steady
standard,4096,5,4,5,4,20.64613625407219,steady
standard,4096,5,5,6,220,20.67381702363491,steady
standard,4096,5,6,7,16,20.684442948549986,steady
standard,4096,5,7,8,15,20.694779232144356,steady
standard,4096,5,8,9,15,20.67072270438075,steady
standard,4096,5,9,10,4,20.665165036916733,steady
standard,4096,5,10,11,220,20.720056723803282,steady
standard,4096,5,11,12,16,20.690441597253084,steady
standard,4096,5,12,13,15,20.686966832727194,steady
standard,4096,5,13,14,15,20.68262081593275,steady
standard,4096,5,14,15,4,20.688930060714483,steady
standard,4096,5,15,16,220,20.722250919789076,steady
standard,4096,5,16,17,16,20.69590985774994,steady
standard,4096,5,17,18,15,20.67414717748761,steady
standard,4096,5,18,19,15,20.70356160402298,steady
standard,4096,5,19,20,4,20.715479739010334,steady
standard,4096,5,20,21,220,20.681718830019236,steady
standard,4096,5,21,22,16,21.210407372564077,steady
standard,4096,5,22,23,15,20.903503987938166,steady
standard,4096,5,23,24,15,20.68499429151416,steady
standard,4096,5,24,25,4,20.70117788389325,steady
standard,4096,5,25,26,220,20.68851003423333,steady
standard,4096,5,26,27,16,20.68352187052369,steady
standard,4096,5,27,28,15,20.70528408512473,steady
standard,4096,5,28,29,15,20.702039822936058,steady
standard,4096,5,29,30,4,20.68118890747428,steady
standard,4096,5,30,31,220,20.682970993220806,steady
standard,4096,5,31,32,16,20.726016256958246,steady
layer_offload,4096,1,1,2,16,32.43058314546943,first_step
layer_offload,4096,1,2,3,15,31.702654901891947,steady
layer_offload,4096,1,3,4,15,31.64367564022541,steady
layer_offload,4096,1,4,5,4,31.73034591600299,steady
layer_offload,4096,1,5,6,220,31.733710784465075,steady
layer_offload,4096,1,6,7,16,31.694572884589434,steady
layer_offload,4096,1,7,8,15,31.677355989813805,steady
layer_offload,4096,1,8,9,15,31.711338087916374,steady
layer_offload,4096,1,9,10,4,31.714022159576416,steady
layer_offload,4096,1,10,11,220,31.696015037596226,steady
layer_offload,4096,1,11,12,16,33.074886072427034,steady
layer_offload,4096,1,12,13,15,31.85248002409935,steady
layer_offload,4096,1,13,14,15,31.714962795376778,steady
layer_offload,4096,1,14,15,4,31.709483824670315,steady
layer_offload,4096,1,15,16,220,31.74180304631591,steady
layer_offload,4096,1,16,17,16,31.70795226469636,steady
layer_offload,4096,1,17,18,15,31.737095676362514,steady
layer_offload,4096,1,18,19,15,31.722203828394413,steady
layer_offload,4096,1,19,20,4,31.710305251181126,steady
layer_offload,4096,1,20,21,220,31.746470369398594,steady
layer_offload,4096,1,21,22,16,31.741042155772448,steady
layer_offload,4096,1,22,23,15,31.731097027659416,steady
layer_offload,4096,1,23,24,15,31.767611857503653,steady
layer_offload,4096,1,24,25,4,31.733490992337465,steady
layer_offload,4096,1,25,26,220,31.78208414465189,steady
layer_offload,4096,1,26,27,16,31.746140215545893,steady
layer_offload,4096,1,27,28,15,31.759430188685656,steady
layer_offload,4096,1,28,29,15,31.774082221090794,steady
layer_offload,4096,1,29,30,4,31.79161809384823,steady
layer_offload,4096,1,30,31,220,31.747843138873577,steady
layer_offload,4096,1,31,32,16,31.792559660971165,steady
layer_offload,4096,2,1,2,16,32.45171485468745,first_step
layer_offload,4096,2,2,3,15,31.68993489816785,steady
layer_offload,4096,2,3,4,15,31.672388315200806,steady
layer_offload,4096,2,4,5,4,31.69884905219078,steady
