status,generated_token_ids,step_top1_ids,prefill_wall_ms,prefill_cuda_ms,time_to_first_token_wall_ms,time_to_first_token_cuda_ms,prefill_tokens_per_second,decode_step_wall_ms,decode_step_cuda_ms,decode_step_h2d_event_ms,decode_first_step_wall_ms,decode_first_step_cuda_ms,decode_steady_wall_mean_ms,decode_steady_cuda_mean_ms,decode_steady_cuda_p50_ms,decode_steady_cuda_p95_ms,decode_steady_tokens_per_second,prefill_peak_gpu_allocated_gib,prefill_peak_gpu_reserved_gib,decode_peak_gpu_allocated_gib,decode_peak_gpu_reserved_gib,cpu_rss_before_gib,cpu_rss_after_gib,cpu_rss_delta_gib,cache_gpu_gib,cache_cpu_gib,cache_total_gib,cache_ratio,theoretical_cache_gib,staging_gpu_gib,h2d_group_transfers,h2d_gib,d2h_gib,async_prefetch_groups,async_h2d_event_total_ms,h2d_event_timing_available,async_d2h_append_calls,non_blocking_d2h_tensor_copies,blocking_d2h_tensor_copies,dedicated_transfer_stream_enabled,dedicated_d2h_stream_enabled,generated_tokens,decode_forward_steps,method,family,resident_kv_heads_r,kv_group_size_g,sequence_length,trial,is_warmup,round_order_position,decode_tokens,same_generated_sequence_as_standard,all_step_top1_equal_as_standard
ok,"[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]","[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]",2963.6284029111266,2963.642578125,2963.6284029111266,2963.642578125,1382.0829914622855,"[2187.083155848086, 2596.654369030148, 2503.125039394945, 2011.934180278331, 2020.9051198326051, 2599.1226178593934, 1895.548903848976, 3300.9790163487196, 2599.1824897937477, 2602.104111108929, 1907.1353860199451, 2199.26845934242, 1717.5730466842651, 2483.0460413359106, 3416.6107908822596, 3118.8509319908917, 2874.9627713114023, 2701.9843640737236, 2083.6740899831057, 1984.698054380715, 2077.9478922486305, 2096.982922870666, 1983.8154800236225, 2695.9979101084173, 2396.229934412986, 2802.1791400387883, 1801.0657606646419, 1908.4558612667024, 2177.729858085513, 2213.996210601181, 84.78611893951893]","[2187.090576171875, 2581.579833984375, 2503.136474609375, 2004.389892578125, 2020.912109375, 2599.13330078125, 1883.409423828125, 3300.995849609375, 2599.19384765625, 2602.114990234375, 1907.1446533203125, 2199.276611328125, 1708.020751953125, 2483.053466796875, 3416.61376953125, 3118.848388671875, 2797.2197265625, 2701.98876953125, 2083.681396484375, 1984.7056884765625, 2077.955810546875, 2096.985107421875, 1983.82080078125, 2696.009765625, 2396.239990234375, 2802.19140625, 1801.0726318359375, 1908.463623046875, 2177.73876953125, 2214.004638671875, 84.7831039428711]","[2002.0035814642906, 2174.399605989456, 2202.212651312351, 1796.052921950817, 1934.8925795704126, 2409.4553956985474, 1658.8715909719467, 3070.714231789112, 2385.2964488863945, 2493.511797785759, 1851.4670640826225, 1938.4730585217476, 1431.3357440829277, 2229.4775379002094, 2858.588295340538, 2660.2159690260887, 2572.414631664753, 2670.4278275966644, 1697.0506612956524, 1850.6597409844398, 1956.338462293148, 1844.33616361022, 1827.6618416309357, 2291.280799508095, 2185.421669125557, 2576.5197758972645, 1454.1350825726986, 1855.8007616996765, 2013.608273267746, 1983.3808516263962, 61.53001606464386]",2187.083155848086,2187.090576171875,2295.218229092037,2291.1561531066895,2206.640625,3219.0294921874993,0.43646086655597505,14.862176418304443,15.0078125,14.35469388961792,15.02734375,2.046375274658203,2.046375274658203,0.0,0.05510139465332031,0.16530418395996094,0.22040557861328125,1.0,0.22040557861328125,0.007871627807617188,1736,5.105804443359375,0.16530418395996094,1736,63937.53503321111,True,0,0,0,True,False,32,31,stagekv_async_r1,async,1,2,4096,1,False,0,32,True,True
ok,"[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]","[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]",3496.2803926318884,3429.951171875,3496.2803926318884,3429.951171875,1194.186096171422,"[2819.637801963836, 2482.7806749381125, 2499.390759970993, 1901.5877917408943, 2797.6890089921653, 1900.8851698599756, 2297.839759849012, 2101.1009300127625, 2899.1634980775416, 1798.9851501770318, 1699.2080244235694, 2097.5899030454457, 1600.6007650867105, 2090.322536882013, 1917.3742742277682, 1880.2398471161723, 1899.0099621005356, 2003.1450749374926, 1696.1084161885083, 2090.6546390615404, 2394.697607960552, 1608.355239033699, 1994.4735560566187, 1897.5227321498096, 1784.9981701001525, 1899.4931308552623, 2085.7043070718646, 1804.6891978010535, 1605.7098028250039, 2810.8209460042417, 128.63807613030076]","[2819.643310546875, 2482.791259765625, 2499.399658203125, 1901.5936279296875, 2797.701171875, 1900.8909912109375, 2297.848876953125, 2101.108642578125, 2899.176513671875, 1798.9898681640625, 1699.2132568359375, 2097.597412109375, 1600.6051025390625, 2090.332275390625, 1917.380615234375, 1880.2464599609375, 1899.0162353515625, 2003.1529541015625, 1696.113525390625, 2090.660888671875, 2302.84619140625, 1608.3609619140625, 1994.4805908203125, 1897.529541015625, 1785.0040283203125, 1899.50048828125, 2085.717041015625, 1804.69580078125, 1605.7149658203125, 2810.832763671875, 128.6347198486328]","[2734.194281101227, 2248.794350862503, 2374.8319363594055, 1846.4597144126892, 2625.1323528289795, 1727.8124799728394, 2058.0208084583282, 1769.4018330574036, 2736.0416090488434, 1648.335834980011, 1532.1949110031128, 2058.7349281311035, 1362.9374026060104, 1840.2846620082855, 1690.8978893756866, 1471.0393583774567, 1848.1614682674408, 1870.0417619943619, 1550.5599691867828, 1621.0260789394379, 2181.8984389305115, 1462.1882215738297, 1854.1954808235168, 1849.2065343856812, 1720.0483202934265, 1753.4856882095337, 1782.2516815662384, 1671.7136900424957, 1393.225382566452, 2564.366693496704, 35.56172811985016]",2819.637801963836,2819.643310546875,1988.95929842256,1985.904547627767,1909.4871215820312,2804.923547363281,0.5035488745894334,14.895556449890137,15.19140625,14.38617992401123,15.2109375,2.046375274658203,2.046375274658203,0.0,0.11020278930664062,0.11020278930664062,0.22040557861328125,1.0,0.22040557861328125,0.007871627807617188,868,3.40386962890625,0.11020278930664062,868,56883.04549098015,True,0,0,0,True,False,32,31,stagekv_async_r2,async,2,2,4096,1,False,1,32,True,True
ok,"[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]","[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]",424.4867046363652,424.4776916503906,424.4867046363652,424.4776916503906,9649.505923561132,"[24.699883069843054, 24.569910019636154, 24.578125216066837, 24.54386092722416, 24.446449242532253, 24.567204993218184, 24.543941020965576, 24.5432797819376, 24.547548033297062, 24.569899775087833, 24.45432310923934, 24.53389298170805, 24.47316888719797, 24.516930803656578, 24.729428347200155, 24.747782852500677, 24.730781093239784, 24.885190185159445, 24.780713953077793, 24.746770970523357, 24.78415099903941, 24.824636057019234, 24.869991932064295, 24.85691662877798, 24.860844016075134, 24.752631317824125, 24.84500501304865, 24.80129338800907, 24.758162908256054, 24.875632021576166, 24.736592080444098]","[24.69478416442871, 24.565759658813477, 24.573951721191406, 24.53913688659668, 24.441856384277344, 24.562368392944336, 24.540128707885742, 24.538976669311523, 24.54319953918457, 24.565696716308594, 24.449695587158203, 24.52889633178711, 24.468416213989258, 24.51251220703125, 24.72537612915039, 24.74380874633789, 24.726367950439453, 24.880128860473633, 24.775680541992188, 24.74185562133789, 24.779775619506836, 24.819711685180664, 24.864831924438477, 24.851455688476562, 24.85638427734375, 24.74799919128418, 24.840192794799805, 24.796159744262695, 24.75315284729004, 24.870912551879883, 24.731647491455078]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",24.699883069843054,24.69478416442871,24.682501951853435,24.677867889404297,24.729007720947266,24.868176269531247,40.52213929021642,15.000550746917725,15.3671875,14.483302593231201,15.3671875,2.046375274658203,2.046375274658203,0.0,0.22040557861328125,0.0,0.22040557861328125,1.0,0.22040557861328125,0.0,0,0.0,0.0,0,0.0,True,0,0,0,False,False,32,31,stagekv_async_r4,async,4,2,4096,1,False,2,32,True,True
ok,"[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]","[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]",3667.0640050433576,3606.341552734375,3667.0640050433576,3606.341552734375,1135.7770583028553,"[3724.5727106928825, 5105.976754799485, 5991.149858571589, 6481.16809874773, 6598.990788683295, 5800.1475390046835, 4201.056252699345, 6801.520765759051, 6092.929885722697, 6806.028662715107, 5893.337269313633, 6005.103524774313, 5698.29707685858, 4201.68543420732, 4993.9176379702985, 4305.427389219403, 5197.832388337702, 5517.117797862738, 7287.025215104222, 7696.196050383151, 6803.618079982698, 4412.559119984508, 3182.9772773198783, 3095.355949830264, 4603.017782326788, 5202.408873010427, 3597.5257703103125, 4401.671544183046, 5095.882683061063, 3918.7976219691336, 2481.523970607668]","[3724.5869140625, 5097.96826171875, 5991.15966796875, 6481.19580078125, 6599.0185546875, 5800.17333984375, 4201.0693359375, 6801.537109375, 6016.4609375, 6806.04443359375, 5817.37158203125, 6005.1181640625, 5698.29150390625, 4201.70263671875, 4905.2880859375, 4305.44287109375, 5197.85107421875, 5517.1357421875, 7287.02978515625, 7696.23095703125, 6803.623046875, 4412.57763671875, 3182.990966796875, 3007.711181640625, 4603.03662109375, 5202.43017578125, 3597.529052734375, 4401.689453125, 5095.89990234375, 3918.8173828125, 2481.532958984375]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3724.5727106928825,3724.5869140625,5249.008235444005,5237.797607421875,5200.140625,7070.586376953124,0.19091993905664015,14.780145168304443,15.02734375,14.27498483657837,15.046875,2.046375274658203,2.058094024658203,0.01171875,0.0,0.22040557861328125,0.22040557861328125,1.0,0.22040557861328125,0.007871627807617188,1736,6.806083679199219,0.22040557861328125,1736,0.0,False,896,1792,0,True,True,32,31,stagekv_bidirectional_r0,bidirectional,0,2,4096,1,False,3,32,True,True
ok,"[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]","[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]",3329.037242103368,3325.149169921875,3329.037242103368,3325.149169921875,1231.8244357429041,"[3186.4735670387745, 2799.8012080788612, 2197.9316230863333, 2900.4103490151465, 2303.67251066491, 2095.56624898687, 2003.1866021454334, 2298.219964373857, 2198.2534611597657, 2506.122710183263, 2197.7903018705547, 1995.7893309183419, 1899.7943419963121, 1701.6325048170984, 1898.1666509062052, 1901.2816357426345, 1898.5670655965805, 1901.3414927758276, 2398.419220931828, 2099.6731892228127, 1899.9509811401367, 1917.5521889701486, 2299.738695845008, 2181.8329510279, 2406.8710021674633, 2206.1155969277024, 1884.6745737828314, 1820.264045149088, 1983.9194789528847, 1899.7892239131033, 1799.6007930487394]","[3186.483154296875, 2799.80810546875, 2197.93603515625, 2900.416748046875, 2303.678466796875, 2095.568603515625, 2003.1907958984375, 2298.2236328125, 2198.260498046875, 2506.13037109375, 2197.794677734375, 1995.7913818359375, 1899.79736328125, 1701.633056640625, 1898.170166015625, 1901.286376953125, 1898.568359375, 1901.3448486328125, 2398.42333984375, 2099.676025390625, 1899.9520263671875, 1917.5535888671875, 2299.7421875, 2181.83984375, 2406.87646484375, 2206.123046875, 1884.6788330078125, 1820.2655029296875, 1983.9232177734375, 1899.7947998046875, 1799.5926513671875]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3186.4735670387745,3186.483154296875,2116.5309981132546,2116.534700520833,2049.3796997070312,2667.653124999999,0.4724704016210657,14.862176418304443,15.02734375,14.35701608657837,15.046875,2.058094024658203,2.058094024658203,0.0,0.05510139465332031,0.16530418395996094,0.22040557861328125,1.0,0.22040557861328125,0.007871627807617188,1736,5.104562759399414,0.16530418395996094,1736,0.0,False,896,1792,0,True,True,32,31,stagekv_bidirectional_r1,bidirectional,1,2,4096,1,False,4,32,True,True
ok,"[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]","[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]",3115.872999187559,3115.886474609375,3115.872999187559,3115.886474609375,1314.5536698391738,"[1597.6942609995604, 1792.8037932142615, 1698.2421725988388, 1701.1892651207745, 1799.9940332956612, 1798.5920011997223, 2098.805736284703, 2902.01423689723, 2097.810278646648, 2404.621202033013, 1977.1487759426236, 2417.9037399590015, 2200.915765017271, 2280.365316197276, 2419.1664177924395, 2206.402931828052, 3192.522675730288, 2700.5956480279565, 2899.7156377881765, 2700.1277529634535, 2498.318796046078, 2201.3942492194474, 2883.1232907250524, 2001.3977866619825, 1598.4131093136966, 1998.051998205483, 1901.5838140621781, 1898.2415897771716, 2101.451818831265, 1797.7676992304623, 2017.0021718367934]","[1597.6949462890625, 1792.8089599609375, 1698.24462890625, 1701.1937255859375, 1799.9952392578125, 1798.594482421875, 2098.810546875, 2902.022216796875, 2097.8125, 2404.626220703125, 1977.1524658203125, 2417.90869140625, 2200.921142578125, 2280.3701171875, 2419.17236328125, 2206.40966796875, 3192.532958984375, 2700.6044921875, 2899.724365234375, 2700.134521484375, 2498.32421875, 2201.39794921875, 2883.13232421875, 2001.401611328125, 1598.4158935546875, 1998.054443359375, 1901.5885009765625, 1898.24609375, 2101.455810546875, 1797.77197265625, 2017.0042724609375]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1597.6942609995604,1597.6949462890625,2206.1894568149,2206.194413248698,2100.1331787109375,2900.98818359375,0.4532692105440813,14.895556449890137,15.16015625,14.388335704803467,15.1796875,2.058094024658203,2.058094024658203,0.0,0.11020278930664062,0.11020278930664062,0.22040557861328125,1.0,0.22040557861328125,0.007871627807617188,868,3.4030418395996094,0.11020278930664062,868,0.0,False,896,1792,0,True,True,32,31,stagekv_bidirectional_r2,bidirectional,2,2,4096,1,False,5,32,True,True
ok,"[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]","[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]",415.5910979025066,415.58734130859375,415.5910979025066,415.58734130859375,9855.930614013869,"[23.039010353386402, 22.563830949366093, 22.657915949821472, 22.567206993699074, 22.59841514751315, 22.507003974169493, 24.021189659833908, 22.652957122772932, 22.429419215768576, 22.35511038452387, 22.373192943632603, 22.846139036118984, 22.400144021958113, 22.330262698233128, 22.49831799417734, 22.904929239302874, 22.92132005095482, 22.888027597218752, 23.113629780709743, 22.80393010005355, 22.817364893853664, 22.774625103920698, 22.82368717715144, 22.77909405529499, 22.894599940627813, 22.89666375145316, 22.82704319804907, 22.80051400884986, 22.831671871244907, 22.833466064184904, 22.9175528511405]","[23.034879684448242, 22.559423446655273, 22.65292739868164, 22.562816619873047, 22.594560623168945, 22.503231048583984, 24.024063110351562, 22.648448944091797, 22.425600051879883, 22.350847244262695, 22.369279861450195, 22.84227180480957, 22.395904541015625, 22.326271057128906, 22.49420738220215, 22.90073585510254, 22.916095733642578, 22.88332748413086, 23.10860824584961, 22.800128936767578, 22.811647415161133, 22.769664764404297, 22.819551467895508, 22.773759841918945, 22.88947105407715, 22.89254379272461, 22.821887969970703, 22.795263290405273, 22.827007293701172, 22.829055786132812, 22.91302490234375]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",23.039010353386402,23.034879684448242,22.754307525853317,22.75005423227946,22.797696113586426,23.021977615356445,43.95593917227353,15.000550746917725,15.3125,14.514666557312012,15.3125,2.058094024658203,2.058094024658203,0.0,0.22040557861328125,0.0,0.22040557861328125,1.0,0.22040557861328125,0.0,0,0.0,0.0,0,0.0,False,0,0,0,False,False,32,31,stagekv_bidirectional_r4,bidirectional,4,2,4096,1,False,6,32,True,True
ok,"[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]","[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]",409.89392111077905,409.8898010253906,409.89392111077905,409.8898010253906,9992.929781988581,"[21.62463217973709, 21.414839196950197, 21.343865897506475, 21.273975260555744, 21.40219509601593, 21.47429995238781, 21.175872068852186, 21.113265305757523, 21.098296158015728, 21.26612002030015, 21.395612973719835, 21.314270794391632, 21.21191890910268, 21.14787884056568, 21.264046896249056, 21.136037074029446, 21.399350836873055, 21.691877860575914, 21.158779971301556, 21.06770919635892, 21.111209876835346, 21.03846473619342, 21.355508361011744, 21.2637260556221, 21.267512813210487, 21.323448047041893, 21.29442384466529, 21.28171967342496, 21.456256974488497, 21.480181720107794, 21.07828902080655]","[21.620512008666992, 21.409791946411133, 21.339136123657227, 21.26848030090332, 21.397504806518555, 21.46918487548828, 21.171903610229492, 21.107711791992188, 21.094079971313477, 21.26131248474121, 21.391359329223633, 21.30944061279297, 21.20800018310547, 21.143552780151367, 21.260095596313477, 21.132064819335938, 21.395456314086914, 21.68729591369629, 21.153791427612305, 21.06265640258789, 21.100543975830078, 21.03379249572754, 21.35139274597168, 21.25904083251953, 21.26335906982422, 21.319520950317383, 21.289920806884766, 21.2774715423584, 21.4517765045166, 21.476192474365234, 21.07391929626465]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",21.62463217973709,21.620512008666992,21.27669844776392,21.27199166615804,21.26591968536377,21.473039054870604,47.01017261072532,14.999261379241943,15.20703125,14.511165142059326,15.20703125,2.058094024658203,2.058094024658203,0.0,0.22040557861328125,0.0,0.22040557861328125,1.0,0.22040557861328125,0.0,0,0.0,0.0,0,0.0,False,0,0,0,False,False,32,31,standard,standard,,,4096,1,False,7,32,True,True
ok,"[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]","[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]",3047.613749280572,2986.049560546875,3047.613749280572,2986.049560546875,1371.7119950446652,"[3802.6515832170844, 4722.194552887231, 3899.894703645259, 3898.316953331232, 3977.119415998459, 4118.1525299325585, 4498.594982083887, 5485.559666994959, 4897.749972995371, 4003.5495632328093, 4097.219823859632, 3005.197389051318, 3294.385655783117, 3805.5653469637036, 3193.4993569739163, 3003.4166486002505, 2993.8060883432627, 2808.7486480362713, 3390.938241034746, 4621.180549263954, 3883.5616023279727, 3199.6169378980994, 3097.1590778790414, 4800.140480045229, 3818.3256476186216, 3382.089083082974, 2502.583611290902, 3101.9417429342866, 2211.5605929866433, 2288.1877827458084, 178.43156214803457]","[3802.666015625, 4722.20703125, 3899.912841796875, 3898.334228515625, 3977.13720703125, 4118.16748046875, 4498.60400390625, 5485.58544921875, 4897.771484375, 4003.5693359375, 4097.23974609375, 3005.209716796875, 3294.3994140625, 3805.582275390625, 3193.511962890625, 3003.422607421875, 2900.97265625, 2808.762451171875, 3390.94384765625, 4621.20458984375, 3883.580322265625, 3199.631103515625, 3097.171875, 4800.16357421875, 3818.34130859375, 3382.102783203125, 2502.593505859375, 3101.9560546875, 2211.56884765625, 2288.1962890625, 178.4279022216797]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3802.6515832170844,3802.666015625,3539.289606998985,3536.2090632120767,3598.2630615234375,4853.847924804688,0.2827887102047244,14.780145168304443,15.03515625,14.26521921157837,15.03515625,2.058094024658203,2.058094024658203,0.0,0.0,0.22040557861328125,0.22040557861328125,1.0,0.22040557861328125,0.0,1736,6.8077392578125,0.22040557861328125,0,0.0,False,0,0,0,False,False,32,31,stagekv_sync_r0,sync,0,2,4096,1,False,8,32,True,True
ok,"[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]","[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]",3277.2890543565154,3277.304931640625,3277.2890543565154,3277.304931640625,1249.8074135413253,"[2404.280720744282, 1595.5978990532458, 1901.598334312439, 1698.0545981787145, 1702.4646271020174, 2295.2010449953377, 1897.313117980957, 2001.2629218399525, 1801.1380271054804, 3297.466062940657, 1903.063063044101, 2077.8276338241994, 2821.0938037373126, 2381.3472520560026, 2497.0807428471744, 2599.659855943173, 2802.16869013384, 2719.0173156559467, 2682.8928841277957, 1700.0950402580202, 2305.20456796512, 1608.1400299444795, 1785.458597354591, 2506.085740868002, 1694.4489278830588, 1700.3269949927926, 1802.578471135348, 3095.132871065289, 1606.0045319609344, 1498.2065418735147, 148.89490883797407]","[2404.290283203125, 1595.6019287109375, 1901.604248046875, 1698.058349609375, 1702.4696044921875, 2295.2080078125, 1886.95654296875, 2001.270751953125, 1801.1441650390625, 3297.470703125, 1903.0692138671875, 2001.976318359375, 2821.1064453125, 2381.35498046875, 2422.3857421875, 2523.288330078125, 2802.18115234375, 2719.027099609375, 2682.9033203125, 1700.10009765625, 2305.21240234375, 1597.1461181640625, 1785.4639892578125, 2506.094482421875, 1694.4537353515625, 1700.321533203125, 1802.583251953125, 3095.1455078125, 1606.0078125, 1498.2100830078125, 148.890625]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2404.280720744282,2404.290283203125,2070.8275033005825,2062.556884765625,1902.3367309570312,2971.8279296874994,0.48483511285732767,14.862176418304443,15.03515625,14.34725046157837,15.03515625,2.058094024658203,2.058094024658203,0.0,0.05510139465332031,0.16530418395996094,0.22040557861328125,1.0,0.22040557861328125,0.0,1736,5.105804443359375,0.16530418395996094,0,0.0,False,0,0,0,False,False,32,31,stagekv_sync_r1,sync,1,2,4096,1,False,9,32,True,True
