model,trial,standard_ms,bidirectional_ms,cross_layer_ms,bidirectional_minus_cross_ms,bidirectional_over_cross_latency_ratio,cross_layer_faster,standard_order,bidirectional_order,cross_layer_order
Qwen2.5-7B-Instruct,1,25.612336095174154,3726.8644205729165,3097.2459635416667,629.6184570312498,1.2032833247480572,True,0,1,2
Qwen2.5-7B-Instruct,2,25.621173286437987,2878.956172688802,2765.4685302734374,113.48764241536446,1.0410374015010553,True,1,2,0
Qwen2.5-7B-Instruct,3,25.671111424763996,2713.822127278646,2827.710343424479,-113.88821614583321,0.9597242283281711,False,2,0,1
Qwen2.5-7B-Instruct,4,25.691195805867512,3189.904337565104,2399.2443644205728,790.6599731445312,1.3295454122429413,True,0,1,2
Qwen2.5-7B-Instruct,5,26.160272979736327,2207.884248860677,3563.0540161132812,-1355.1697672526043,0.6196606166720772,False,1,2,0
Qwen2.5-3B-Instruct,1,24.663670539855957,34.641885884602864,34.54767036437988,0.0942155202229813,1.0027271164518266,True,0,1,2
Qwen2.5-3B-Instruct,2,24.295510546366373,34.584986750284834,34.45348777770996,0.13149897257487453,1.003816710035956,True,1,2,0
Qwen2.5-3B-Instruct,3,24.294198290506998,34.64296112060547,34.292331822713216,0.3506292978922545,1.0102247143677765,True,2,0,1
Qwen2.5-3B-Instruct,4,24.48695888519287,34.64056955973307,34.81984202067057,-0.17927246093749716,0.9948514280785342,False,0,1,2
Qwen2.5-3B-Instruct,5,24.28515847524007,34.46910209655762,34.235027440389,0.2340746561686231,1.0068372854841785,True,1,2,0
