status,generated_token_ids,step_top1_ids,prefill_wall_ms,prefill_cuda_ms,time_to_first_token_wall_ms,time_to_first_token_cuda_ms,prefill_tokens_per_second,decode_step_wall_ms,decode_step_cuda_ms,decode_step_h2d_event_ms,decode_first_step_wall_ms,decode_first_step_cuda_ms,decode_steady_wall_mean_ms,decode_steady_cuda_mean_ms,decode_steady_cuda_p50_ms,decode_steady_cuda_p95_ms,decode_steady_tokens_per_second,prefill_peak_gpu_allocated_gib,prefill_peak_gpu_reserved_gib,decode_peak_gpu_allocated_gib,decode_peak_gpu_reserved_gib,cpu_rss_before_gib,cpu_rss_after_gib,cpu_rss_delta_gib,cache_gpu_gib,cache_cpu_gib,cache_total_gib,cache_ratio,theoretical_cache_gib,staging_gpu_gib,h2d_group_transfers,h2d_gib,d2h_gib,async_prefetch_groups,async_h2d_event_total_ms,h2d_event_timing_available,async_d2h_event_total_ms,d2h_event_timing_available,async_d2h_append_calls,non_blocking_d2h_tensor_copies,blocking_d2h_tensor_copies,dedicated_transfer_stream_enabled,dedicated_d2h_stream_enabled,expected_layer_prefetches,layer_prefetch_calls,expected_lookahead_prefetches,lookahead_prefetch_calls,expected_layer0_fallbacks,layer0_fallback_prefetch_calls,layer_prefetch_hits,layer_prefetch_misses,expected_layer_slot_reuse_waits,layer_slot_reuse_waits,cross_layer_schedule_correct,generated_tokens,decode_forward_steps,method,family,resident_kv_heads_r,kv_group_size_g,sequence_length,trial,is_warmup,round_order_position,decode_tokens,same_generated_sequence_as_standard,all_step_top1_equal_as_standard
ok,"[220, 34187, 198, 220, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]","[220, 34187, 198, 220, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",1446.6933831572533,1446.681640625,1446.6933831572533,1446.681640625,5662.61419925179,"[94.83355609700084, 35.219940822571516, 34.654047805815935, 34.642275888472795, 35.21927120164037, 34.998590126633644, 34.832862205803394, 35.015671979635954, 34.54429470002651, 34.58870714530349, 35.05618730559945, 34.56706693395972, 34.647386986762285, 35.20540473982692, 34.93871912360191, 34.55479396507144, 35.067969001829624, 34.582715947180986, 34.670148976147175, 34.974806010723114, 34.6206771209836, 34.5564866438508, 34.957853611558676, 35.026653204113245, 34.65429926291108, 34.85319996252656, 34.79310730472207, 34.54687912017107, 34.75940367206931, 35.40441580116749, 34.58119323477149]","[94.8305892944336, 35.2174072265625, 34.65177536010742, 34.64771270751953, 35.21638488769531, 34.98905563354492, 34.83033752441406, 35.013343811035156, 34.541568756103516, 34.5863037109375, 35.05356979370117, 34.56496047973633, 34.64476776123047, 35.20169448852539, 34.93580627441406, 34.552734375, 35.06585693359375, 34.58009719848633, 34.667518615722656, 34.971649169921875, 34.618465423583984, 34.553855895996094, 34.955265045166016, 35.02387237548828, 34.6511344909668, 34.85081481933594, 34.790401458740234, 34.544639587402344, 34.75660705566406, 35.4027214050293, 34.57855987548828]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",94.83355609700084,94.8305892944336,34.82450099351505,34.82196273803711,34.77350425720215,35.21694717407227,28.717508186512102,6.636087894439697,7.109375,6.085574626922607,7.109375,0.8114662170410156,1.5966224670410156,0.78515625,0.1411571502685547,0.1411571502685547,0.2823143005371094,1.0,0.2823143005371094,0.007842063903808594,1116,4.36735725402832,0.1411571502685547,1116,205.64275175333023,True,79.2173115555197,True,1152,2304,0,True,True,1116,1116,1085,1085,31,31,1085,31,1114,1114,True,32,31,stagekv_cross_layer_r1,cross_layer,1,2,8192,1,True,0,32,True,True
ok,"[220, 34187, 198, 220, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]","[220, 34187, 198, 220, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",431.9913908839226,431.97509765625,431.9913908839226,431.97509765625,18964.056132973885,"[26.774220168590546, 24.11708189174533, 23.88680400326848, 23.579171393066645, 24.31288594380021, 23.594710044562817, 23.595551028847694, 23.447224870324135, 24.088678881525993, 23.947336245328188, 24.024188984185457, 23.959920275956392, 24.68734420835972, 23.801493924111128, 23.800724186003208, 23.804700933396816, 24.105992168188095, 23.968426045030355, 24.19401705265045, 24.35007831081748, 24.370715022087097, 24.27464723587036, 24.360727053135633, 24.257615208625793, 24.45342903956771, 24.326102808117867, 24.441807996481657, 24.248898960649967, 24.318718817085028, 24.366087280213833, 24.347923696041107]","[26.772384643554688, 24.11417579650879, 23.88390350341797, 23.575551986694336, 24.30963134765625, 23.591936111450195, 23.592960357666016, 23.444480895996094, 24.08550453186035, 23.944320678710938, 24.020992279052734, 23.956287384033203, 24.68454360961914, 23.799488067626953, 23.797056198120117, 23.80179214477539, 24.10291290283203, 23.964672088623047, 24.190975189208984, 24.34662437438965, 24.367103576660156, 24.27084732055664, 24.35686492919922, 24.253440856933594, 24.450048446655273, 24.32307243347168, 24.43788719177246, 24.245248794555664, 24.31488037109375, 24.363008499145508, 24.344575881958008]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",26.774220168590546,26.772384643554688,24.101100116968155,24.09782625834147,24.152575492858887,24.44457588195801,41.497518874917176,6.776163578033447,6.91796875,6.207213878631592,6.91796875,1.5966224670410156,1.5966224670410156,0.0,0.2823143005371094,0.0,0.2823143005371094,1.0,0.2823143005371094,0.0,0,0.0,0.0,0,0.0,False,0.0,False,0,0,0,False,False,0,0,0,0,0,0,0,0,0,0,True,32,31,standard,standard,,,8192,1,True,1,32,True,True
ok,"[220, 34187, 198, 220, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]","[220, 34187, 198, 220, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",436.20864301919937,436.2106628417969,436.20864301919937,436.2106628417969,18779.916902148358,"[36.03022592142224, 35.112707410007715, 34.97341834008694, 35.080187022686005, 34.71773164346814, 34.769910387694836, 35.058006178587675, 35.038760397583246, 35.14582011848688, 35.61141574755311, 34.725586883723736, 35.00354429706931, 35.327989142388105, 35.158063285052776, 34.79817183688283, 34.685191698372364, 34.93954474106431, 34.60355894640088, 39.445945993065834, 35.45807022601366, 34.74236838519573, 34.7137451171875, 34.996370784938335, 34.719957038760185, 35.1633420214057, 34.77277513593435, 34.9257099442184, 34.94540601968765, 34.705921076238155, 38.79992524161935, 35.29345616698265]","[36.02841567993164, 35.109886169433594, 34.97043228149414, 35.076961517333984, 34.71529769897461, 34.7677116394043, 35.05535888671875, 35.036224365234375, 35.14332962036133, 35.60847854614258, 34.722816467285156, 35.00105667114258, 35.32572937011719, 35.154945373535156, 34.79529571533203, 34.68288040161133, 34.936832427978516, 34.600929260253906, 39.44278335571289, 35.45600128173828, 34.7400016784668, 34.71091079711914, 34.993953704833984, 34.716670989990234, 35.160064697265625, 34.75251388549805, 34.9224967956543, 34.941951751708984, 34.70336151123047, 38.79548645019531, 35.2911376953125]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",36.03022592142224,36.02841567993164,35.247753374278545,35.24438336690267,34.98219299316406,37.361332893371575,28.37331524826963,6.636087894439697,7.046875,6.085574626922607,7.046875,1.5966224670410156,1.5966224670410156,0.0,0.1411571502685547,0.1411571502685547,0.2823143005371094,1.0,0.2823143005371094,0.015684127807617188,1116,4.36735725402832,0.1411571502685547,1116,205.66745598614216,True,76.7637438904494,True,1152,2304,0,True,True,0,0,0,0,0,0,0,0,0,0,True,32,31,stagekv_bidirectional_r1,bidirectional,1,2,8192,1,True,2,32,True,True
