status,generated_token_ids,step_top1_ids,prefill_wall_ms,prefill_cuda_ms,time_to_first_token_wall_ms,time_to_first_token_cuda_ms,prefill_tokens_per_second,decode_step_wall_ms,decode_step_cuda_ms,decode_step_h2d_event_ms,decode_first_step_wall_ms,decode_first_step_cuda_ms,decode_steady_wall_mean_ms,decode_steady_cuda_mean_ms,decode_steady_cuda_p50_ms,decode_steady_cuda_p95_ms,decode_steady_tokens_per_second,prefill_peak_gpu_allocated_gib,prefill_peak_gpu_reserved_gib,decode_peak_gpu_allocated_gib,decode_peak_gpu_reserved_gib,cpu_rss_before_gib,cpu_rss_after_gib,cpu_rss_delta_gib,cache_gpu_gib,cache_cpu_gib,cache_total_gib,cache_ratio,theoretical_cache_gib,staging_gpu_gib,h2d_group_transfers,h2d_gib,d2h_gib,async_prefetch_groups,async_h2d_event_total_ms,h2d_event_timing_available,async_d2h_event_total_ms,d2h_event_timing_available,async_d2h_append_calls,non_blocking_d2h_tensor_copies,blocking_d2h_tensor_copies,dedicated_transfer_stream_enabled,dedicated_d2h_stream_enabled,expected_layer_prefetches,layer_prefetch_calls,expected_lookahead_prefetches,lookahead_prefetch_calls,expected_layer0_fallbacks,layer0_fallback_prefetch_calls,layer_prefetch_hits,layer_prefetch_misses,expected_layer_slot_reuse_waits,layer_slot_reuse_waits,cross_layer_schedule_correct,generated_tokens,decode_forward_steps,method,family,resident_kv_heads_r,kv_group_size_g,sequence_length,trial,is_warmup,round_order_position,decode_tokens,same_generated_sequence_as_standard,all_step_top1_equal_as_standard
ok,"[220, 34187, 198, 220, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]","[220, 34187, 198, 220, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",436.71958381310105,436.7224426269531,436.71958381310105,436.7224426269531,18757.909373110873,"[38.008310832083225, 36.87941934913397, 35.7183669693768, 36.56026488170028, 35.031497944146395, 34.98764615505934, 36.557639949023724, 35.44726315885782, 36.41151962801814, 36.70897334814072, 34.709179773926735, 34.81388371437788, 36.615889985114336, 34.70157505944371, 35.5184068903327, 36.112402100116014, 34.62277911603451, 36.31097171455622, 35.08147317916155, 34.645040053874254, 36.42274998128414, 34.60765117779374, 34.69929099082947, 36.32569871842861, 34.755725879222155, 34.951210021972656, 36.30399936810136, 34.64275598526001, 34.70753598958254, 36.651025991886854, 34.741689916700125]","[38.00566482543945, 36.87715148925781, 35.71596908569336, 36.557823181152344, 35.028865814208984, 34.984928131103516, 36.55478286743164, 35.4447021484375, 36.40435028076172, 36.70614242553711, 34.70614242553711, 34.81087875366211, 36.613121032714844, 34.69852828979492, 35.512351989746094, 36.10950469970703, 34.62041473388672, 36.3087043762207, 35.079166412353516, 34.64191818237305, 36.42051315307617, 34.60505676269531, 34.696319580078125, 36.322303771972656, 34.75251388549805, 34.94892883300781, 36.301151275634766, 34.63987350463867, 34.704383850097656, 36.648895263671875, 34.73904037475586]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",38.008310832083225,38.00566482543945,35.54145089971522,35.53848088582357,35.26193428039551,36.68038120269776,28.138512819744744,6.636087894439697,7.046875,6.085574626922607,7.046875,1.5966224670410156,1.5966224670410156,0.0,0.1411571502685547,0.1411571502685547,0.2823143005371094,1.0,0.2823143005371094,0.015684127807617188,1116,4.36735725402832,0.1411571502685547,1116,204.3782722055912,True,77.41529574431479,True,1152,2304,0,True,True,0,0,0,0,0,0,0,0,0,0,True,32,31,stagekv_bidirectional_r1,bidirectional,1,2,8192,1,False,0,32,True,True
ok,"[220, 34187, 198, 220, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]","[220, 34187, 198, 220, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",437.0545889250934,437.0493469238281,437.0545889250934,437.0493469238281,18743.87882663455,"[35.687522031366825, 34.42186722531915, 36.40140313655138, 34.18347192928195, 34.56937102600932, 36.37822903692722, 34.48281018063426, 35.59926804155111, 35.5466497130692, 34.57723557949066, 37.03697631135583, 34.495363011956215, 34.588947892189026, 36.2511221319437, 34.345334861427546, 34.36310915276408, 35.81052366644144, 34.44501105695963, 34.8950088955462, 36.630210001021624, 34.241111017763615, 34.19781010597944, 37.22237283363938, 34.193912986665964, 35.29397211968899, 34.837441984564066, 34.337881952524185, 35.62812367454171, 34.695057198405266, 34.13087595254183, 36.08270129188895]","[35.68537521362305, 34.418880462646484, 36.399105072021484, 34.18022537231445, 34.56614303588867, 36.375553131103516, 34.48012924194336, 35.5964469909668, 35.544063568115234, 34.57535934448242, 37.03398513793945, 34.49241638183594, 34.58643341064453, 36.24857711791992, 34.341854095458984, 34.360321044921875, 35.80799865722656, 34.44220733642578, 34.89177703857422, 36.62732696533203, 34.2374382019043, 34.19526290893555, 37.22035217285156, 34.19033432006836, 35.2911376953125, 34.83504104614258, 34.334720611572266, 35.624961853027344, 34.69209671020508, 34.12758255004883, 36.07961654663086]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",35.687522031366825,35.68537521362305,35.1294391322881,35.12657826741536,34.639265060424805,36.850988960266115,28.468471719251827,6.636087894439697,7.046875,6.085574626922607,7.046875,1.5966224670410156,1.5966224670410156,0.0,0.1411571502685547,0.1411571502685547,0.2823143005371094,1.0,0.2823143005371094,0.007842063903808594,1116,4.36735725402832,0.1411571502685547,1116,206.91468793153763,True,77.89801614359021,True,1152,2304,0,True,True,1116,1116,1085,1085,31,31,1085,31,1114,1114,True,32,31,stagekv_cross_layer_r1,cross_layer,1,2,8192,1,False,1,32,True,True
ok,"[220, 34187, 198, 220, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]","[220, 34187, 198, 220, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",432.8566319309175,432.85784912109375,432.8566319309175,432.85784912109375,18925.38166197895,"[23.53081898763776, 23.032329976558685, 24.70483537763357, 23.15385639667511, 23.179585114121437, 23.289037868380547, 24.904586374759674, 23.23246281594038, 23.169816005975008, 23.209961131215096, 24.865163024514914, 22.995571605861187, 23.139839991927147, 23.10024667531252, 24.84103897586465, 23.678553756326437, 23.255365900695324, 23.768390994518995, 23.5365591943264, 24.9131228774786, 23.426063358783722, 23.300981149077415, 23.372614290565252, 24.620878044515848, 23.59427697956562, 23.512343876063824, 23.58316583558917, 25.166033767163754, 23.63258833065629, 23.61806109547615, 23.845565039664507]","[23.5284481048584, 23.0295352935791, 24.701183319091797, 23.151519775390625, 23.176191329956055, 23.2857608795166, 24.90163230895996, 23.229440689086914, 23.166719436645508, 23.206111907958984, 24.862464904785156, 22.992895126342773, 23.137279510498047, 23.08902359008789, 24.838144302368164, 23.675199508666992, 23.252063751220703, 23.766016006469727, 23.533567428588867, 24.90982437133789, 23.422975540161133, 23.297760009765625, 23.369728088378906, 24.616960525512695, 23.590911865234375, 23.508991241455078, 23.580448150634766, 25.161727905273438, 23.62873649597168, 23.614559173583984, 23.8417911529541]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",23.53081898763776,23.5284481048584,23.721429860840242,23.71797211964925,23.521279335021973,24.906137943267822,42.16212056221897,6.776163578033447,6.91796875,6.207213878631592,6.91796875,1.5966224670410156,1.5966224670410156,0.0,0.2823143005371094,0.0,0.2823143005371094,1.0,0.2823143005371094,0.0,0,0.0,0.0,0,0.0,False,0.0,False,0,0,0,False,False,0,0,0,0,0,0,0,0,0,0,True,32,31,standard,standard,,,8192,1,False,2,32,True,True
