method,sequence_length,status,successful_trials,prefill_seconds_mean,prefill_seconds_std,prefill_tokens_per_second_mean,prefill_tokens_per_second_std,peak_gpu_allocated_gib_max,peak_gpu_reserved_gib_max,measured_kv_gib_mean,kv_ratio_mean
standard,4096,ok,5,0.4098141707945615,0.0030424711227878096,9995.214435105534,74.16573920189622,14.999230861663818,15.20703125,0.21875,1.0
standard,8192,ok,5,0.8701988841872662,0.0009285948934704932,9413.94847907775,10.04514260937469,15.763940334320068,16.076171875,0.4375,1.0
standard,16384,ok,5,1.9190201668068767,0.0039067673761765615,8537.718672383431,17.377189965919925,17.29006338119507,17.798828125,0.875,1.0
standard,32768,ok,5,4.541242605494335,0.014459904576357924,7215.704708622502,22.964546837596806,20.34548330307007,21.462890625,1.75,1.0
